index,question,value,response
0,What is the average total waste in tons for the years 2022 and 2023?,4710.0,"4350#5070 |

The value of |5070#4350| is 4725 |
48,"What is the total amount of indirect GHG emissions (in Mt CO2e) for the year 2023, calculated by summing all the reported values in the table, excluding values less than 1 and any unspecified values?",414.0,355#4#1#10#3#11#6#8#5#10#3#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#
49,What is the difference between the total volume of processed waste compared to the non-hazardous waste in 2019?,287.0,662 - 375
50,What is the percentage reduction in the volume of hazardous waste from 2019 to 2020?,31.25,No answer in the response
51,What is the percentage reduction in the volume of non-hazardous waste from 2019 to 2021?,10.67,"335#322#375 |

The corresponding scale is: none |

"
52,What is the reduction in the volume of hazardous waste from 2020 to 2022?,22.0,165#176
53,What is the average waste percentage reuse from 2019 to 2023?,61.4,61
54,What is the average amount of hazardous waste processed in the years 2021 and 2023?,183.5,165#202 |
55,What is the average of the indirect GHG Scope 3 emissions in Mt CO2e from 2020 to 2023?,386.0,"355#216#227#389#191 |

The corresponding scale is: none |

"
56,What is the difference between the total Scope 3 indirect GHG emissions in 2023 and the emissions produced in Europe in the same year?,139.0,355#216
57,What is the difference between emissions derived from petroleum and gas products in 2015?,290.0,350 - 60
58,What is the percentage reduction of Scope 3 GHG emissions from 2022 to 2023?,8.74,-35%
59,What is the average of the indirect GHG emissions in Mt CO2e from petroleum products and gas in 2019?,205.0,"335 + 75 |

#### and its corresponding scale is: none"
60,What is the sum of scope 3 GHG emissions in the last 3 years?,1144.0,"410#256#389 |

"
61,What is the percentage difference in indirect GHG emissions from gas in 2022 compared to the emissions from biofuels in the same year?,96.92,124#4 |
62,"What is the average of indirect GHG emissions from petroleum, biofuels and gas in 2023?",118.33,"227#124#130 |

The corresponding scale is: none |

"
63,What is the percentage reduction of indirect GHG emissions from petroleum products in 2023 compared to 2022?,10.63,-35%
64,What is the difference between all scope 3 GHG emissions and emissions derived from petroleum products in 2020?,80.0,320#215
65,What is the sum of the indirect GHG emissions from Europe in Mt CO2e for the years 2022 and 2023?,407.0,"216#216 |

#### and its corresponding scale is: none"
66,What is the average percentage reduction of indirect GHG emissions from petroleum products in the last 3 years compared to 2015?,27.0,-9%#-19%#-27%
67,What is the average of the indirect GHG emissions from biofuels in 2022 and 2023?,4.0,"4#4 |

### Scale
none"
68,What is the difference in indirect GHG emissions from petroleum products compared to gas in the year 2023?,103.0,227#124
69,What is the sum of the hazardous and non-hazardous waste for the year 2021?,500.0,657
70,What is the average volume of non-hazardous waste processed by the company from 2019 to 2023?,330.8,"375#322#319#303#335 |

The corresponding scale is: none"
71,What is the increase in the volume of hazardous waste from 2022 to 2023?,26.0,No answer in the response
72,What is the total volume of hazardous waste processed by the company from 2019 to 2023?,1029.0,"202#165#176#198#288 |

#### and its corresponding scale is: none"
73,"What is the total GHG emissions intensity for 2022, combining operated upstream oil and gas activities and equity-based upstream oil and gas activities?",36.0,17 + 19
74,What is the average intensity of GHG emissions of operated upstream oil and gas activities and on equity basis for the year 2023?,17.5,"17#18 |

#### and its corresponding scale is: none"
75,What is the difference between the GHG emissions of operated upstream oil and gas activities and the those from upstream oil and gas activities on an equity basis for the year 2022?,-2.0,"17#19 |

#### and its corresponding scale is: none"
76,What is the percentage increase in the GHG emissions of operated upstream oil & gas activities from 2021 to 2015?,23.53,"21#17 |

#### and its corresponding scale is: none"
77,What is the average intensity of GHG emissions of upstream oil & gas activities on an equity basis for the years 2021 and 2023?,18.5,"18#19 |

The corresponding scale is: none |

"
78,What is the difference between the intensity of methane emissions from operated oil and gas facilities in 2023 and 2022?,0.0,0.11#0.11
79,What is the reduction in the percentage of intensity of methane emissions from operated oil and gas facilities when comparing the values from 2015 to 2023?,0.12,0.23#0.11
80,What is the sum of the intensity of methane emissions from operated oil and gas facilities in 2021 and 2022?,0.24,"0.13#0.11 |

#### and its corresponding scale is: none"
81,What is the sum of the net primary energy consumption in TWh for the years 2021 and 2022?,314.0,"166#157 |

The corresponding scale is: none |

"
82,What is the percentage increment in renewable energy consumption from 2020 to 2023?,100.0,"2#1 |

The corresponding scale is: none |

"
83,What is the difference in net primary energy consumption (TWh) from 2023 and 2021?,9.0,"166 - 157 |

The corresponding scale is: none |

"
84,What is the difference in the Global Energy Efficiency Indicator from the year 2020 to 2022?,5.1,"87.0#85.1 |

The corresponding scale is: none |

"
85,What is the percentage change in the Global Energy Efficiency Indicator (GEEI) from 2021 to 2022?,-2.18,"87.0#85.1 |

The corresponding scale is: percent |

"
86,What is the average of the Global Energy Efficiency Indicator values for the years 2020 and 2021?,88.6,"87.0#85.1 |

The corresponding scale is: none |

"
87,What is the percentage reduction in the Global Energy Efficiency Indicator from 2015 to 2019?,3.08,"88.0#90.8 |

The corresponding scale is: percent |

"
88,What is the average of the fresh water withdrawals excluding open loop cooling water and the fresh water withdrawal in water stress area for the year 2021?,77.5,"54#80 |

The corresponding scale is: million |

"
89,What is the difference in kt between the NOx and NMVOC emissions in 2021?,1.0,59 - 83
90,What is the percentage reduction in offshore continuous water with hydrocarbon content from 2019 to 2020?,1.54,"12.8#13.0 |

The corresponding scale is: none |

"
91,What is the percentage increase in the number of sites that meet the target for offshore discharges quality (30 mg/l) from 2019 to 2021?,-8.0,92#100
92,What is the sum of the onshore continuous water with hydrocarbon content for the years 2019 and 2022?,3.5,"1.7#1.9 |

The corresponding scale is: none |

"
93,What is the percentage reduction in the lifecycle carbon intensity of energy products used by customers from 2022 to 2023?,1.14,87 - 88
94,What is the difference between the intensity of GHG emissions of operated upstream oil and gas activities from 2015 to 2023?,4.0,"17#21 |

#### and its corresponding scale is: none"
95,What is the average of the other indirect GHG emissions in Mt CO2e from oil and gas in the year 2015?,205.0,350#60 |
96,What is the difference between the GHG emissions from oil and gas in 2015?,290.0,350#60
97,What is the difference between the amount of indirect GHG emissions from gas and those from biofuels in 2022 (in Mt CO2e)?,126.0,130#4
98,What is the sum of indirect GHG emissions in Mt CO2e derived from petroleum products and gas in the year 2015?,410.0,350 + 60
99,What is the difference in total indirect GHG emissions compared to the indirect GHG emissions produced in Europe in 2015?,154.0,410#256
100,What is the percentage increase in indirect GHG emissions from gas products when comparing the values for the year 2023 to those from 2015?,106.67,124#60 |
101,What is the difference in indirect GHG emissions from gas between the years 2022 and 2015?,70.0,130 - 60
102,What is the difference in indirect GHG emissions from petroleum products in 2015 compared to gas emissions in the same year?,290.0,350#60
103,"What is the total estimated energy consumption by source in MWh for the year 2023, calculated by summing the values for grid electricity, purchased renewable electricity, district heating, fuel oil, gas, and coal?",189522.0,92379#72632#2490#1013#21008#0 |
104,What is the percentage reduction in grid electricity consumption from 2022 to 2023?,13.68,"92379#107019 | none |

The reduction in grid electricity consumption from 2022 to 2023 is 14.7%."
105,"What is the average of the measured renewable electricity generated on site and sold back to the grid for the years 2023, 2022, and 2021?",2593.67,2558#2263#2960
106,What is the reduction in grid electricity consumption from 2021 to 2022?,41701.0,148720 - 107019 | MWh |
107,What is the percentage increase in measured renewable electricity generated from 2021 to 2023?,15.72,2960#2558 |
108,What is the reduction in estimated total energy consumption from 2022 to 2023?,76949.0,"1124327 - 1201276 |

The corresponding scale is: million"
109,What is the percentage reduction when comparing the estimated total energy consumption from non-renewable sources in 2022 to that in 2023?,18.62,37.1%
110,"What is the total measured energy consumption from all sources in MWh for the year 2023, calculated by summing the values related to grid electricity, purchased renewable electricity and self generated renewable electricity?",716398.0,82590#610614#23194 |
111,What is the average estimated total energy consumption from renewable sources in MWh for the years 2023 and 2022?,697753.5,707033#688474
112,"What is the sum of the total water withdrawals (other than for cooling) for the years 2020, 2021, 2022, and 2023?",7821054.0,1928032#1921569#1899190#2072263 |
113,What is the percentage reduction in groundwater water withdrawals from 2021 to 2022?,4.15,492308#513631
114,What is the difference in water withdrawals from third party sources from the year 2021 to 2023?,130229.0,"1377377#1507606

#### and its corresponding scale is: none"
115,What is the average of the surface water and groudwater withdrawals for the year 2020?,235031.5,452602#17461 |
116,What is the difference in total water withdrawals (other than for cooling) and those for cooling in 2023?,1085779.0,"1899190#813411

#### and its corresponding scale is: none"
117,What is the average between the total water withdrawals (other than for cooling) and those for cooling in 2020?,1354116.5,(1928032 + 780201) / 2 |
118,What is the average of the direct and indirect (scope 2) GHG emissions in 2023?,101116.0,"20232 + 89440 |

#### and its corresponding scale is: none"
119,What is the difference between scope 3 and scope 2 indirect GHG emissions in 2022?,60678819.0,60788549
120,What is the sum of the direct and scope 3 indirect GHG emissions for the year 2023?,56890756.0,"112792#56777964 |

#### and its corresponding scale is: none"
121,What is the percentage reduction of the direct GHG emissions in 2023 compared to the previous year?,5.57,-31.2%
122,What is the difference between the total scope 2 GHG emissions in 2022 and those related to grid electricity only?,60056.0,89440 - 39476
123,What is the average of the direct GHG emissions in TCO2e for the years 2020 to 2023?,127590.0,"112792#142388#119447#140718 |

"
124,What is the difference between the direct (scope 1) GHG emissions from the year 2020 to 2021?,1670.0,"142388#140718 |

The difference between the direct (scope 1) GHG emissions from the year 2020 to 2021 is 142388."
125,What is the percentage reduction in direct GHG emissions from the year 2020 to 2023?,20.79,-31.2%
126,What is the sum of SF GHG emissions for the years 2022 and 2023?,8660.0,"112792#38968#4054#61492 |

"
127,What is the reduction in energy indirect (Scope 2) GHG emissions from 2020 to 2023?,55767.0,145207#89440
128,What is the percentage reduction of grid electricity (market-based) indirect GHG emissions from 2020 to 2022?,29.18,-11.60%
129,"What is the sum of indirect emissions (scope 2) from renewable electricity (market-based) in TCO2e for the years 2023, 2022, 2021, and 2020?",2098.0,"701#703#694#66692 |

#### and its corresponding scale is: none"
130,What is the percentage increase of the indirect emissions from district heating from the year 2020 to 2021?,27.39,"14714#8358 |

The corresponding scale is: percent |

The percentage increase of the indirect emissions from district heating from the year 2020 to 2021 is 71.45%."
131,What is the difference between the estimated scope 2 GHG emissions of sites out of reporting perimeter in 2021 and those in 2023?,28047.0,42961#50995
132,"What is the average of the direct GHG emissions, scope 2 and scope 3 indirect emissions for the year 2023?",18993398.67,"112792#56777964#694#89440 |

"
133,"What is the average of the measured renewable electricity generated in MWh for the years 2023, 2022, and 2021?",2593.67,"2960#2263#2558 |

|step | "
134,What is the increase in energy consumption from grid electricity between the years 2022 and 2023?,-14640.0,92379#107019
135,"What is the total estimated energy consumption in MWh for the year 2023, calculated by summing the values of grid electricity, purchased renewable electricity, district heating, fuel oil, gas, and coal?",189522.0,1013#2490#21008#92379#72632#0 |
136,What is the percentage increase of measured renewable electricity generated from 2021 to 2023?,15.72,"2960#2558 |

The corresponding scale is: none |

"
137,What is the reduction in MWh in grid electricity consumption from 2021 to 2022?,41701.0,"107019#148720 | none |

The reduction in MWh in grid electricity consumption from 2021 to 2022 is 148720 - 107019 | none |"
138,What is the percentage increase in measured renewable electricity generated from 2022 to 2023?,30.8,88%#85%
139,What is the sum of the self-generated renewable electricity measured in MWh for the years 2022 and 2023?,0.0,"2960#88% |

The corresponding scale is: none |

"
140,What is the difference between the total estimated energy consumption in 2023 and energy from renewable sources in the same year?,417294.0,"707033#62.9% |

The corresponding scale is: million |

"
141,What is the difference of estimated energy consumption between renewable source and non-renewable source in 2021?,15083.0,"655204#50.6%#670287 | none |

### Scale

none"
142,"What is the average energy consumption from grid electricity, purchased renewable electricity, self-generated renewable electricity, district heating, fuel oil, gas, and renewable fuel and heat for the year 2023?",133543.71,"(82590 + 610614 + 23194 + 14736 + 12991 + 190088 + 593) / 7 | none |

#### and its corresponding scale is: none"
143,What is the difference between purchased renewable electricity and self-generated renewable electricity in 2022?,568132.0,588851#20719 |
144,What is the percentage reduction in estimated total energy consumption from 2020 to 2023?,7.6,"1124327#1216845

#### and its corresponding scale is: none"
145,What is the average of the surface water withdrawals (other than for cooling) for the years 2023 and 2022?,16106.5,17699#14514
146,What is the increase in groundwater withdrawals (other than for cooling) from the year 2020 to 2022?,39706.0,No answer in the response
147,What is the sum of the water withdrawals from third party sources for the years 2021 and 2020?,2953997.0,2953997
148,What is the sum of surface and ground water withdrawals in 2020?,470063.0,No answer in the response
149,What is the difference between total water withdrawals and withdrawals from surface water in 2023?,1881491.0,1899190 - 17699 |
150,What is the difference between total water withdrawals and withdrawals from areas with water stress in 2021?,1141660.0,"2072263#930603 |

#### and its corresponding scale is: none"
151,What is the average water withdrawal for cooling and non-cooling purposes in 2021?,1475932.5,71.7#879602#622951 |
152,What is the difference between total and indirect (Scope 2) GHG emissions in 2023?,112792.0,"20232 - 89440 |

#### and its corresponding scale is: none"
153,What is the difference between total direct GHG emissions and emissions from gas in 2022?,72176.0,119447 - 47271
154,What is the average of GHG emissions related to fuel oil and gas in 2020?,28324.0,"4451 + 52197 |

#### and its corresponding scale is: none"
155,What is the sum of SF emissions and emissions produces by vehicle fleet in 2023?,65546.0,"61492#4054 |

#### and its corresponding scale is: none"
156,What is the sum of market-based GHG emissions related to frid electricity and renewable electricity in 2020?,70839.0,"70145 + 694 |

#### and its corresponding scale is: none"
157,What is the percentage reduction in direct gas-related GHG emissions from 2021 to 2022?,16.74,-11.60%
158,What is the reduction of SF direct emissions from 2020 to 2022?,2681.0,"142388#119447 |

"
159,What is the percentage decrease in vehicle fleet GHG emissions from the year 2020 to 2023?,16.03,-17.40%
160,What is the average SF emissions for the years 2022 and 2020?,5946.5,"4054#7287 |

"
161,What is the reduction in Energy indirect (Scope 2) GHG emissions from 2022 to 2023?,20290.0,-17.40%
162,What is the percentage decrease in indirect GHG emissions for grid electricity from 2022 to 2023?,20.53,-17.40%
163,What is the average of indirect GHG emissions from renewable electricity (market-based) for the years 2021 and 2022?,702.0,"703#49674 |

"
164,What is the increase in indirect GHG emissions for district heating from the year 2020 to 2021?,3164.0,"11550#8358 |

The corresponding scale is: none |

"
165,What is the sum of Scope 2 GHG emissions of sites out of reporting perimeter for the years 2023 and 2022?,93956.0,42961#50995
166,What is the difference between scope 3 and scope 2 GHG emissions in 2023?,56688524.0,56777964
167,What is the difference between non-hazardous waste and non-hazardous waste reused or recycled in 2023?,10973.0,105593#116566
168,What is the total amount of non-hazardous waste reused or recycled and incinerated with energy recovery in 2022?,118286.0,111567#6719 |
169,What is the percentage increase in hazardous waste generated from the year 2020 to 2021?,11.24,"7685#8549 |

The corresponding scale is: none |

"
170,What is the reduction in reused or recycled non-hazardous waste generated from 2022 to 2023?,5974.0,111567#105593
171,What is the percentage decrease in hazardous waste channeled according to Schneider Electric expectations from 2022 to 2023?,6.4,-50%
172,What is the average of non-hazardous waste reduction in metric tons for the years 2023 and 2021?,17382.5,21098
173,What is the reduction in the hazardous waste generated per million euros of turnover from 2021 to 2022?,0.06,-44%
174,"What is the sum of 'waste-to-resource' sites for the years 2023, 2022, 2021, and 2020?",510.0,126#127#120#137 |
175,What is the average of hazardous and non-hazardous waste generated in 2020?,62646.0,"(7685 + 117607) / 2 |

#### and its corresponding scale is: none"
176,What is the difference between non-hazardous waste incinerated with and without energy recovery in 2021?,1211.0,6964#115550 |
177,What is the difference between metric of tons for total waste and hazardous waste in 2021?,128267.0,136816#8549 |
178,"What is the average amount of non-hazardous waste generated, by distinguish between recycled and incinerated waste (with and without energy recovery) for the year 2022?",41103.67,"123311#111567 | none |

"
179,What is the difference between the total waste generated in 2022 and the non-hazardous waste generated in the same year?,8091.0,123311 - 123311
180,What is the average of hazardous waste generated in tons from 2020 to 2023?,7974.5,7573
181,What is the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023?,6.73,"113211#105593 |

The corresponding scale is: none |

"
182,What is the percentage increase in hazardous waste (channeled according to Schneider Electric expectations) from 2020 to 2022?,5.53,"8091#7667 |

The corresponding scale is: none |

"
183,What is the sum of non-hazardous waste generated in tons from 2020 to 2023?,54435.0,"128267#117607#116566#123311 |

The corresponding scale is: none"
184,What is the percentage reduction in hazardous waste generated per million of revenue from 2020 to 2023?,30.0,-27%
185,What is the sum of non-hazardous waste recycled and incinerated with energy recovery in the year 2021?,122514.0,115550#6964 |
186,"What is the average hazardous waste intensity reduction obtained in the years 2020, 2021, 2022 and 2023 against 2017?",37.75,-27%
187,"What is the sum of non-hazardous waste recycled, incinerated with and without energy recovery for the year 2022?",123311.0,111567#6719#5025 |
188,What is the average percentage of clothes made from recycled polyester and with sustainable cotton in 2023?,99.5,"99#100 |

#### and its corresponding scale is: none"
189,What is the percentage increase of clothes made from recycled polyester from 2021 to 2023?,8.79,8
190,What is the average percentage of more sustainable cotton sourced and the percentage of recycled polyester apparel footwear in 2021?,95.5,"91#96 |

#### and its corresponding scale is: none"
191,"What is the sum of CO2e emissions (scope 1 and scope 2) in own operations for the years 2021, 2022, and 2023?",466796.0,"164149#164236#138411 |

#### and its corresponding scale is: none"
192,What is the percentage increase of CO2 emissions from 2021 to 2023?,18.66,164236#138411
193,What is the total number of pairs of shoes produced containing 'Parley Ocean Plastic' from 2021 to 2023?,45.0,"26#17#2 |

#### and its corresponding scale is: none"
194,What is the reduction of the number of pairs of shoes produced containing 'Parley Ocean Plastic' from 2022 to 2023?,24.0,26m#2m | and its corresponding scale is: none
195,What is the difference between the energy consumption for the entire cement line and the amount related to clicker production only in 2022?,28033.0,309153#318671
196,What is the sum of absolute CO2 emissions from external electrical power and thermal energy production (both market and location based) generated in 2023 (in million of tonnes)?,8.9,"4.4#4.5 |

### Solution
The sum of absolute CO2 emissions from external electrical power and thermal energy production (both market and location based) generated in 2023 (in million of tonnes) is 4.5 + 4.4 |

"
197,What is the average water usage in cubic meters in the last 2 years?,454863.5,476997#432730
198,"What is the increase in energy consumption from 2021 to 2023, measured in million kWh?",4570.0,35056#30486
199,What is the percentage increase in logistics-related GHG emissions from 2019 to 2021?,18.55,39.36#33.2 |
200,What is the percentage reduction in energy consumption (MWh) from 2022 to 2023?,13.95,71218#82766
201,What is the difference in energy consumption (MWh) from 2022 to 2023?,11548.0,71218 - 82766 |
202,What is the average quantity of carbon credits acquired during the year for 2022 and 2023?,672.0,673#671
203,What is the sum of the carbon intensity per employee in tonnes of CO2eq for the years 2023 and 2022?,16.3,8.1#8.2
204,What is the percentage reduction in carbon intensity per employee in tonnes of CO2eq from 2022 to 2023?,1.22,"8.1#8.2 |

The corresponding scale is: none |

"
205,What is the increase in the quantity of carbon credits acquired from 2022 to 2023?,2.0,673#671
206,What is the percentage increase in the quantity of carbon credits acquired from 2022 to 2023?,0.3,"0.99 | none |

#### and its corresponding scale is: none"
207,What is the sum of tonnes of waste generated in 2023 and 2022?,2252.8,2252.8
208,What is the percentage reduction in the weight of ordinary waste (in tons) from 2022 to 2023?,31.4,No answer in the response
209,What is the increase in the weight of electrical and electronic waste (in tons) generated from 2022 to 2023?,9.8,57.3#47.5
210,"What is the average percentage of electric and electroninc waste recycled across the years 2019, 2021, 2022 and 2023?",98.75,"99# | 2023#2021#2022 |

"
211,"What is the sum of tonnes of ordinary waste produced in the years 2019, 2020, 2021, 2022 and 2023?",6238.0,"1704#1473#1620#1441#874 |

The sum of the values is 5342. |

"
212,What is the difference between the total group-related direct and indirect consumption of energy in 2023?,13957.0,14715 - 377 - 14334
213,What is the sum of the group-related direct and indirect consumption of energy in 2023?,14711.0,14334#377
214,What is the percentage reduction in the group-related total consumption of energy from 2022 to 2023?,15.24,"14171#16665 |

The corresponding scale is: none |

"
215,What is the difference between the full consolidated and group-level percentage usage of energy from renewable sources in 2023?,0.16,9.92#9.76
216,What is the percentage decrease in group-realted energy intensity per milion of revenue from 2021 to 2022?,19.05,2.1#1.7
217,What is the average total group-related direct consumption of energy in TJ for the years 2022 and 2023?,15499.5,No answer in the response
218,What is the reduction in total group-related indirect consumption of energy from 2022 to 2023?,319.0,377#351
219,"What is the sum of full consolidated energy consumption (in TJ) for the years 2021, 2022, and 2023?",44559.0,"16665#14092#14092 |

#### and its corresponding scale is: none"
220,What is the difference in the total energy consumption when comparing the group related direct and indirect consumption of energy in 2021?,13479.0,692#14171
221,What is the difference between total group-related energy consumption and direct consumption of energy in 2022?,696.0,16665 - 16041
222,What is the average of the total group-related direct and indirect consumption of energy for the year 2021 in TJ?,7431.5,692
223,What is the percentage difference in total group-related energy consumption when comparing the direct and indirect consumption of energy in 2023?,97.37,No answer in the response
224,What is the average group-related total consumption of energy for the years 2023 and 2022?,16038.0,"(14171 + 14863) / 2 | none |

The corresponding scale is: none |"
225,What is the average energy consumption from renewable sources in 2023 for both group-related and consolidated values?,9.84,9.76#9.92
226,What is the percentage increase in full consolidated energy consumption from 2021 to 2023?,5.52,16041#14863
227,What is the sum of full consolidated direct consumption of energy in terajoules from the years 2021 to 2023?,27417.0,48753
228,What is the percentage increase in total full consolidated indirect consumption of energy from 2021 to 2022?,3.83,"366#692 |

The corresponding scale is: none |

"
229,What is the sum of all full consolidated values of total consumption of energy in TJ from 2021 to 2023?,44559.0,14447#14863#13691
230,"What is the average energy consumption, including both direct and indirect full consolidated consumption, for the year 2022?",8210.5,16041#13325 |
231,What is the difference between the total full-consolidated direct and indirect consumption of energy in 2021?,12959.0,692#13691
232,What is the difference between full-consolidated direct and indirect energy consumption in 2021?,12959.0,692#366
233,What is the sum of the total full consolidated direct and indirect consumption of energy for the year 2021?,13691.0,1058
234,What is the sum of group-level thermal energy and electricity consumed from the grid in MWh for the year 2023?,40111.0,38134 + 1977 |
235,What is the percentage reduction in group level electricity consumed from the grid when comparing the values for the year 2022 and 2023?,44.02,38134#68120
