index,question,value,response
106,Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,"axa, OTC_ESOCF","42423#37172 |

### Solution
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘{scale}‘ to ’none’. Finally, present the final answer in the format of """
107,Which companies have the 2 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in kt?,"NYSE_TTE, OTC_SU","OTC_SU#NYSE_TTE |

"
108,Which companies have the 2 lowest amounts of hazardous waste produced in 2023 (sorted in ascending order) among the following companies in tons?,"OTC_SU, NYSE_TTE",NYSE_TTE#OTC_SU
109,What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"168709.0, 7635784.0",1.05752e+06#7.63578e+06
110,What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.11, 0.0",1.11#3 |
111,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in MtCO2eq?,"71.04, 3.13",3130824#3016864
112,What is the highest energy consumed in the last 2 years among the following companies in MWh?,313698.0,"108722#33.09 |

The corresponding scale is: none |

"
113,Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"axa, OTC_RWNEF","42423#65470 |

The value of ‘scale’ can be one of the following: ‘none‘, ‘million‘, ‘thousand‘, or ‘billion‘. For non-numerical values, set the value of ‘scale’ to ’none’. Finally, present the final answer in the format of """
114,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_BAYZF, OTC_RWNEF",OTC_RWNEF#OTC_BAYZF
115,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_BAYZF, NASDAQ_DASTY",OTC_BAYZF#NASDAQ_DASTY
116,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,1.11,No answer in the response
117,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,23800000.0,92467
118,Which company has the highest amount of waste generated in the years 2023 and 2022 among the following companies in tons?,NYSE_TTE,vivendi
119,What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.12,1.12
120,Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"NASDAQ_DASTY, OTC_ADDDF",21779#21856
121,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,OTC_ADDDF,munich-re
122,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,"NYSE_AZ, vivendi",vivendi#NYSE_AZ
123,What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,5100000.0,"59232#37172#30712 |

"
124,What are the 2 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in tons?,"123311, 8430",1154#128267 |
125,What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,"21598.0, 10291.0",10291#11228
126,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tons CO2e?,5894811.0,3039435
127,What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"1.12, 5.1","3.82#5.1 |

"
128,What is the lowest energy consumption over the last 4 years among the following companies in MWh?,1124327,12241
129,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"munich-re, deutsche-telekom-ag","deutsche-telekom-ag#munich-re |

"
130,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,munich-re,munich-re
131,What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,5.1,"5.1#3.82 |

The maximum value is 5.1"
132,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"NYSE_TTE, OTC_SU","OTC_SU#SU#TTE |

The value of ‘scale’ can be one of the following: none |

The value of ‘SU#TTE’ can be one of the following: 1124327#128 |

The value of ‘OTC_SU#SU#TTE’ can be one of the following: 1124327#128#1201276 |

The value of ‘none’ can be one of the following: none |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |

The value of ‘1201276#1124327#128’ can be one of the following: 1201276#1124327#128 |"
133,Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in tCO2e?,axa,axa
134,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,OTC_ESOCF,vivendi
135,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"NASDAQ_DASTY, deutsche-telekom-ag",NASDAQ_DASTY#deutsche-telekom-ag
136,Which companies have the top 2 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of m3?,"OTC_ESOCF, OTC_BAYZF",OTC_BAYZF#OTC_ESOCF
137,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,56530000.0,"96745#136448#153910#112228 |

"
138,What is the highest energy consumed in the last 4 years among the following companies in TWh?,166.0,12241
139,What are the 2 highest amounts of hazardous waste produced in 2023 (sorted in descending order) among the following companies in kt?,"202.0, 7.57",202#165 |
140,What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"3280000.0, 112228.0","112228#34.51 |

The corresponding scale is: none |

"
141,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"OTC_RWNEF, munich-re",munich-re#OTC_RWNEF
142,Which company has the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,heidelberg-materials,heidelberg-materials
143,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2eq?,"OTC_RWNEF, axa",42423#65470
144,Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in TCO2eq?,vivendi,vivendi
145,What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,"12241, 35056",12241#13253
146,Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"OTC_ADDDF, vivendi",vivendi#OTC_ADDDF
147,What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"0.09, 71.04",71.04#56.53
148,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,9180000.0,"9.18#9.72#1.89#1.91 |

The corresponding scale is: none |

"
149,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,6059047.0,3086777
150,Which company has the lowest energy consumption over the last 4 years among the following companies in GWh?,deutsche-telekom-ag,deutsche-telekom-ag
151,What are the top 2 lowest water consumption values (in ascending order) for the year 2023 among the following companies in million cubic meters?,"5.05, 6.78",5.04914e+06
152,Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"NASDAQ_DASTY, munich-re",14249#3086777
153,What is the highest energy consumed in the last 2 years among the following companies in MWh?,1201276,"1124327#1201276 |

"
154,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,4.51,4.51
155,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,168709.0,"12500 |

### Scale
none |

### Instruction
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘{scale}‘ to ’none’. Finally, present the final answer in the format of """
156,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"NYSE_AZ, OTC_ADDDF","30490#142293 |

The corresponding scale is: none |

"
157,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,NASDAQ_DASTY,NYSE_AZ
158,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in tons?,521000.0,10007
159,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,OTC_BAYZF,OTC_BAYZF
160,Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,OTC_BAYZF,OTC_BAYZF
161,Which company has the highest water consumption in the years 2023 and 2022 for the following companies in million cubic meters?,OTC_BAYZF,OTC_BAYZF
162,What is the lowest energy consumption over the last 3 years among the following companies in TWh?,91.6,157  
163,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"OTC_ESOCF, NYSE_AZ",NYSE_AZ#OTC_ESOCF
164,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,"OTC_RWNEF, NASDAQ_DASTY",NASDAQ_DASTY#OTC_RWNEF
165,What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"1124327, 250916","108722#1124327 |

"
166,Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_ADDDF, OTC_BAYZF","2022 | 9.72#7.63578e+06 |

"
167,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"vivendi, NYSE_AZ","vivendi#NYSE_AZ |

The corresponding scale is: none |

"
168,What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"71218, 12241000",12241#71218
169,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,OTC_ESOCF,OTC_ESOCF
170,Which companies have the 2 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in tons?,"OTC_SU, vivendi",OTC_SU#vivendi
171,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,23.8,770748
172,What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"1120000.0, 30490.0",30490
173,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,heidelberg-materials,"heidelberg-materials |
"
174,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,521.0,124139#131402
175,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,"0.2, 3.28","0.2#3.28 |

"
176,Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,"OTC_ADDDF, OTC_RWNEF",61.9#85.4
177,Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"vivendi, NASDAQ_DASTY",vivendi#NASDAQ_DASTY
178,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,3039435,3039435
179,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,OTC_ESOCF,OTC_ESOCF
180,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,"prosiebensat1-media, NASDAQ_DASTY",NASDAQ_DASTY#prosiebensat1-media
181,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,3086777.0,3086777
182,What is the highest water consumption in the years 2023 and 2022 for the following companies in million cubic meters?,12.2,12.2#8.2
183,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,11388.0,10007
184,What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"3193.0, 14249.0","14249#33093 |

"
185,What is the lowest energy consumption over the last 2 years among the following companies in GWh?,71.22,12241
186,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in million kWh?,"OTC_DPSGY, OTC_SU",OTC_SU#OTC_DPSGY
187,What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in tCO2e?,42423.0,"174336#188605 |

The value of ‘#174336#188605’ is 174336#188605 |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#174336#188605’ is a string |

The value of ‘#1"
188,What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tons CO2e?,"142457.0, 1110000.0",1.11#1.12
189,What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"30490.0, 142293.0",30490#142293
190,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,"prosiebensat1-media, deutsche-telekom-ag",deutsche-telekom-ag#prosiebensat1-media
191,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,OTC_RWNEF,vivendi
192,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,"OTC_ADDDF, NASDAQ_DASTY",NASDAQ_DASTY#OTC_ADDDF
193,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_RWNEF, vivendi",vivendi#OTC_RWNEF
194,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TWh?,"NYSE_TTE, munich-re",NYSE_TTE#munich-re
195,Which company has the highest energy consumed in the last 4 years among the following companies in TWh?,NYSE_TTE,deutsche-telekom-ag
196,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in GWh?,"deutsche-telekom-ag, prosiebensat1-media",deutsche-telekom-ag#prosiebensat1-media
197,Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,"axa, OTC_RWNEF",61.9#85.4
198,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,9.18,"9.18#9.72#5.89481e+06#7.63578e+06 |

The corresponding scale is: none |

"
199,What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"250916, 12241000",108722#95108
200,What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TWh?,"157.0, 0.25","157#108722 |

The value of ‘#’ is 2.

The value of ‘#’ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘#’ to ’none’.

"
201,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,953.1,1276.7#953.1
202,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"7635784.0, 92467.0","92467#763578 |

The corresponding scale is: none |

"
203,Which company has the lowest energy consumption over the last 4 years among the following companies in MWh?,OTC_SU,deutsche-telekom-ag
204,What are the top 2 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of cu.m?,"35.4, 8.2",8.2#12.2
205,What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,1120000.0,vivendi | 19496 |
206,What is the highest water consumption in the years 2023 and 2022 for the following companies in m3?,45200000.0,5.04914e+06
207,What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"92467.0, 9720000.0",9.72
208,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in million mt CO2e?,85.4,85.4#61.9
209,What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"157000000.0, 1124327.0",1124327#707033
210,What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,"142457.0, 3193.0",142457#142293
211,What are the top 2 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,"5049144.0, 8200000.0",5.04914e+06#4.72231e+06
212,What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"0.2, 0.14",142457#16349
213,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,OTC_BAYZF,OTC_BAYZF
214,What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in GWh?,"12241.0, 33.09",12241#33.09 |
215,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"770748.0, 168709.0",770748#727100
216,Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in million mt CO2e?,"NYSE_AZ, OTC_RWNEF",92467#96745
217,What is the largest energy consumption from 2022 to 2023 among the following companies?,35056,35056
218,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"OTC_BAYZF, OTC_ESOCF",OTC_ESOCF#OTC_BAYZF
219,What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"200000.0, 14249.0","14249#33093 |

"
220,What is the smallest water consumption from 2022 to 2023 among the following companies in m3?,432730,5.04914e+06
221,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,7799933.0,79705
222,What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"142293.0, 19496.0",19496#14221
223,Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,axa,"axa |

### Input
| Unnamed: 0                                                                                                                                                               |   Base year 2019 |     2022 |     2023 | % 2023/2022   | Target 2025   | % 2023/Base Year   |
|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------:|---------:|---------:|:--------------|:--------------|:-------------------|
| Scope 1 GHG emissions                                                                                                                                                    |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| Gross Scope 1 GHG emissions                                                                                                                                              |          33617   |  21382   |  21598   | 1%            | -25%          | -36%               |
| Scope 2 GHG emissions                                                                                                                                                    |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| Gross Market-based Scope 2 GHG emissions                                                                                                                                 |          59232   |  37172   |  30712   | -17%          | -35%          | -48%               |
| Gross Location-based ”’ Scope 2 GHG emissions                                                                                                                            |          65470   |  45848   |  42423   | -7%%          | nan           | -35%               |
| Significant Scope 3 GHG emissions                                                                                                                                        |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| Total Gross indirect (Scope 3) GHG emissions Market-based                                                                                                                |         258541   | 185354   | 169296   | -9%           | nan           | -35%               |
| o/w GHG emissions from purchase services related to IT (Category 1)                                                                                                      |           4623   |   5234   |   5955   | 14%           | nan           | 29%                |
| o/w GHG emissions from capital goods related to IT (Category 2)                                                                                                          |          24147   |  24493   |  23430   | -4%           | nan           | -3%                |
| o/w GHG emissions from fuel and energy-related Activities (not included in Scope 1 or Scope 2) Market-based ® (Category 3)                                               |          20672   |  13324   |  11757   | -12%          | nan           | -43%               |
| o/w GHG emissions from business travelling (Category 6)                                                                                                                  |          86004   |  24831   |  57006   | 130%          | -18%          | -34%               |
| o/w GHG emissions from employee commuting (Category 7)                                                                                                                   |         123094   | 117472   |  71148   | -39%          | nan           | -42%               |
| Total Gross indirect (Scope 3) GHG emissions Location-based                                                                                                              |         259356   | 188605   | 174336   | -8%           | nan           | -33%               |
| Total GHG Emissions                                                                                                                                                      |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| Total GHG emissions Market-based ®                                                                                                                                       |         351389   | 243909   | 221606   | -9%           | nan           | -37%               |
| Total GHG emissions Location-based                                                                                                                                       |         358443   | 255836   | 238357   | -7%           | nan           | -34%               |
| Total GHG emissions of Energy, car fleet, business travel and purchase services and capital goods related to IT (excluding commuting) (used in “AXA for Progress Index”) |         228295   | 126436   | 150458   | 19%           | -20%          | -34%               |
| GHG emissions - Breakdown by Source                                                                                                                                      |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| GHG emissions company’s cars                                                                                                                                             |          24939   |  17273   |  17485   | 1%            | -20%          | -30%               |
| GHG emissions from energy consumption Market-based                                                                                                                       |          88582   |  54605   |  46581   | -15%          | -35%          | -47%               |
| GHG emissions from energy consumption Location-based ©                                                                                "
224,What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"37172.0, 30490.0",30490#59232
225,What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in MtCO2eq?,0.04,"42423#45848#65470 |

"
226,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,9720000.0,186894
227,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,OTC_BAYZF,NYSE_AZ
228,Which companies have the top 2 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,"OTC_BAMGF, OTC_CRERF",OTC_CRERF#OTC_BAMGF
229,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,OTC_DPSGY,prosiebensat1-media
230,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_RWNEF, OTC_ADDDF",OTC_RWNEF#OTC_ADDDF
231,What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"34.51, 0.0",34.51#53.07
232,What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,"112228.0, 22042.0",22042#32333
233,Which company has the highest amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,vivendi,vivendi
234,What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2eq?,"200000.0, 42423.0",42423#45848
