pdf name,gri,page nbr,table nbr,question,question_type_ext,value,row indices,col indices,row/column spanning,metadata
['NYSE_TTE_2023.pdf'],302,[381],[0],"What are the values of the Global Energy Efficiency Indicator (GEEI) from 2015 to 2023, ranked in ascending order, considering only the years 2015, 2019, 2020, 2021, 2022, and 2023?",rank,"85.1, 86.4, 87.0, 88.0, 90.2, 90.8","[27, 27, 27, 27, 27, 27]","[2, 3, 4, 5, 6, 7]",0,"{'desc': False, 'firstk': 6.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[387],[0],"What are the three values of particulate matter emissions, SO2 emissions, and NOx emissions for the year 2021 in ascending order?",rank,"3.8, 16.0, 58.0","[3, 5, 6]","[5, 5, 5]",1,"{'desc': False, 'firstk': 3.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],303,[387],[0],What is the maximum offshore continuous water discharge of hydrocarbon content recorded from 2019 to 2023?,superlative,13.7,"[8, 8, 8, 8, 8]","[3, 4, 5, 6, 7]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],303,[387],[0],What is the minimum percentage of sites that met the target for offshore discharges quality (30 mg/l) from 2019 to 2023?,superlative,92,"[9, 9, 9, 9, 9]","[3, 4, 5, 6, 7]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],303,[387],[0],Is the value of onshore continuous water discharge of hydrocarbon content in mg/l in 2020 higher than in 2022?,comparative,yes,"[10, 10]","[4, 6]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],303,[387],[0],Is the amount of fresh water withdrawals excluding open loop cooling water lower than the amount of fresh water withdrawal in water stress area for the year 2021?,comparative,no,"[13, 14]","[5, 5]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[387],[0],Is the amount of NOx emissions in 2021 smaller than the amount of NMVOC emissions in 2021?,comparative,no,"[4, 5]","[5, 5]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],303,[387],[0],What are the three lowest values of offshore continuous water discharges measured in mg/l from 2020 to 2023 in ascending order?,rank,"11.6, 12.8, 12.9","[8, 8, 8, 8, 8]","[3, 4, 5, 6, 7]",0,"{'desc': False, 'firstk': 3.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],303,[387],[0],What is the maximum percentage of sites that met the target for offshore discharges quality (30 mg/l) from 2019 to 2023?,superlative,100,"[9, 9, 9, 9, 9]","[3, 4, 5, 6, 7]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],303,[387],[0],Is the value of onshore continuous water discharges in 2019 greater than in 2022?,comparative,no,"[10, 10]","[3, 6]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[619],[1],"What are the two values of the lifecycle carbon intensity of energy products in 2023 and 2022, ranked in descending order?",rank,"88.0, 87.0","[2, 2]","[3, 4]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[619],[1],Is the intensity of GHG emissions (Scope 1+2) of operated upstream oil and gas activities in 2023 lower than in 2015?,comparative,yes,"[3, 3]","[3, 6]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[619],[1],"What are the ranked values of the intensity of GHG emissions (Scope 1+2) of operated upstream facilities for the years 2023, 2022, 2021, and the base year 2015, when the values are sorted in ascending order?",rank,"17.0, 17.0, 17.0, 21.0","[3, 3, 3, 3]","[3, 4, 5, 6]",0,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[619],[0],"What is the minimum value of indirect GHG emissions in Mt CO2e for the year 2015 among the categories ""of which Europe: EU 27 + Norway + UK + Switzerland,"" ""Oil,"" and ""Gas""?",superlative,60,"[3, 4, 6]","[6, 6, 6]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[619],[0],"What are the two highest values of other indirect GHG emissions in Mt CO2e for the year 2023 from the categories Gas, Oil, and Biofuels in decreasing order?",rank,"227, 124","[5, 4, 6]","[3, 3, 3]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['NYSE_TTE_2023.pdf'],305,[619],[0],"What is the maximum value of other indirect GHG emissions in Mt CO2e for the year 2015 among Biofuels, Europe (EU 27 + Norway + UK + Switzerland), and Gas?",superlative,256,"[3, 5, 6]","[6, 6, 6]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[619],[0],"What are the top three values of other indirect GHG emissions in 2022 from the rows ""Biofuels"" ""Oil,"" and ""Europe: EU 27 + Norway + UK + Switzerland,"" ranked in descending order?",rank,"254, 191, 4","[3, 4, 5]","[4, 4, 4]",1,"{'desc': True, 'firstk': 3.0, 'lowest-highest': 1.0}"
['NYSE_TTE_2023.pdf'],305,[619],[0],Is the value of Scope 3 emissions in 2015 lower than the oil emissions in the same year?,comparative,no,"[2, 4]","[6, 6]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[619],[0],"What are the top three values from the 2015 column for the rows ""Scope 3,"" ""Oil,"" and ""Gas"" ranked in descending order?",rank,"410.0, 350.0, 60.0","[2, 4, 6]","[6, 6, 6]",1,"{'desc': True, 'firstk': 3.0, 'lowest-highest': 1.0}"
['NYSE_TTE_2023.pdf'],305,[619],[0],"What are the highest two values of the GHG emissions from gas in the years 2023, 2022, 2021, 2015 when ranked in descending order?",rank,"130, 124","[6, 6, 6, 6]","[3, 4, 5, 6]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['NYSE_TTE_2023.pdf'],305,[306],[1],What are the two lowest values between gas emissions and petroleum products emissions for the year 2015 in ascending order?,rank,"60.0, 350.0","[4, 6]","[6, 6]",1,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[306],[1],"What are the top four values of indirect GHG emissions from gas in the years 2023, 2022, 2021 and 2015, when ranked in descending order?",rank,"130.0, 124.0, 115.0, 60.0","[6, 6, 6, 6]","[3, 4, 5, 6]",0,"{'desc': True, 'firstk': 4.0, 'lowest-highest': 1.0}"
['NYSE_TTE_2023.pdf'],305,[306],[1],Is the value of the indirect GHG emissions from gas in 2015 lower than the one in 2022?,comparative,yes,"[6, 6]","[6, 4]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[306],[1],"What are the four values of indirect GHG emissions from gas for the years 2015, 2021, 2022, and 2023 in ascending order?",rank,"60.0, 115.0, 124.0, 130.0","[6, 6, 6, 6]","[3, 4, 5, 6]",0,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[306],[1],"What is the maximum value of indirect GHG emissions in Mt CO2e for the year 2015 between the emissions from Europe (EU 27 + Norway + UK + Switzerland), and emissions from petroleum products?",superlative,350,"[3, 4]","[6, 6]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[383],[0],"What is the maximum value of indirect GHG emissions in Mt CO2e for the year 2015 among the categories ""of which Europe: EU 27 + Norway + UK + Switzerland,"" ""Petroleum products,"" and ""Gas""?",superlative,350,"[3, 5, 8]","[3, 3, 3]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[383],[0],"What is the maximum value of indirect GHG emissions in Mt CO2e for the year 2015 among Petroleum products, and Gas?",superlative,350,"[5, 8]","[3, 3]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[383],[0],Is the value of indirect european GHG emissions in Mt CO2e for the year 2019 higher than the amount of petroleum products emissions in the same year?,comparative,no,"[3, 5]","[4, 4]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[383],[0],"In ascending order, what are the four lowest values of indirect GHG emissions in Mt CO2e for the year 2023 from the categories “Biofuels”, ""Gas,"" ""of which Europe: EU 27 + Norway + UK + Switzerland,"" and ""Petroleum products""?",rank,"4.0, 124.0, 216.0, 227.0","[3, 5, 7, 8]","[8, 8, 8, 8]",1,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[383],[0],What are the two values of indirect GHG emissions in Mt CO2e for the year 2023 between gas and biofuels in increasing order?,rank,"4.0, 124.0","[7, 8]","[8, 8]",1,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[383],[0],Is the value of indirect GHG gas emissions greater than the emissions due to petroleum products in 2019?,comparative,no,"[8, 5]","[4, 4]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[383],[0],"What is the minimum value of indirect GHG emissions in Mt CO2e for the year 2015 among Europe emissions, petroleum emissions and gas emissions?",superlative,60,"[3, 5, 8]","[3, 3, 3]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[383],[0],"What is the maximum value of indirect GHG emissions in Mt CO2e for the year 2023 among Europe emissions, petroleum emissions, gas emissions and biofuels emissions?",superlative,227,"[3, 5, 7, 8]","[8, 8, 8, 8]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[383],[0],Is the value of the indirect european GHG emissions greater than the amount of gas emissions in 2019?,comparative,yes,"[3, 8]","[4, 4]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[383],[0],Is the amount of indirect GHG biofuel emissions smaller than the amount of gas emissions in 2022?,comparative,yes,"[7, 8]","[7, 7]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[383],[1],"In decreasing order, what are the top six ranked estimates of indirect GHG emissions (in Mt CO2e) for the categories of fuel and energy related activities, upstream transportation, downstream transportation, end of life treatment, upstream leased assets, and processing of sold products for the year 2022?",rank,"11.0, 9.0, 6.0, 3.0, 1.0, 0.0","[5, 6, 10, 11, 12, 14]","[3, 3, 3, 3, 3, 3]",1,"{'desc': True, 'firstk': 6.0, 'lowest-highest': 1.0}"
['NYSE_TTE_2023.pdf'],305,[383],[1],Is the estimate of indirect GHG emissions in Mt CO2e from capital goods lower than the estimate for fuel/energy related activities in the year 2023?,comparative,yes,"[4, 5]","[4, 4]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[383],[1],Is the estimate of indirect GHG emissions from fuel/energy related activities for the year 2022 lower than in 2023?,comparative,yes,"[5, 5]","[3, 4]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[383],[1],What are the two estimates of indirect GHG emissions for upstream transportation between 2022 and 2023 in increasing order?,rank,"8.0, 9.0","[6, 6]","[3, 4]",0,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[383],[1],"Is the estimate of indirect GHG emissions for the category ""upstream leased assets"" in the year 2022 lower than in 2023?",comparative,no,"[10, 10]","[3, 4]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[383],[1],"What is the minimum estimate of indirect GHG emissions in Mt CO2e for the year 2022 among purchased goods and services, fuel-and-energy-related activities, upstream transportation, upstream leased assets, processing of sold products, and end of life treatment of sold products?",superlative,0,"[3, 5, 6, 10, 12, 14]","[3, 3, 3, 3, 3, 3]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[383],[1],What are the highest 5 estimates of MtCO2e in increasing order in 2023?,rank,"5, 8, 10, 27, 355","[3, 4, 5, 6, 7, 10, 11, 12, 13, 14]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1,"{'desc': False, 'firstk': 5.0, 'lowest-highest': 1.0}"
['NYSE_TTE_2023.pdf'],305,[383],[1],Is the value of indirect GHG emissions in Mt CO2e for end of life treatment emissions greater than the value of the processing of sold products emissions in the year 2023?,comparative,yes,"[14, 12]","[4, 4]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[383],[1],What are the two values of indirect GHG emissions in Mt CO2e for end of life treatment of sold products and upstream transportation in 2022 in decreasing order?,rank,"11.0, 9.0","[6, 14]","[3, 3]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[383],[1],Is the estimate of indirect GHG emissions from upstream transportation in Mt CO2e for the year 2022 higher than in 2023?,comparative,yes,"[6, 6]","[3, 4]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[383],[1],Is the value of the indirect GHG emissions in 2022 from downstream transportation lower than from upstream transportation?,comparative,yes,"[11, 6]","[3, 3]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[383],[1],Is the value in Mt CO2e of the indirect GHG emissions for end of life treatment of sold products higher than for generated waste for the year 2023?,comparative,yes,"[14, 7]","[4, 4]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],306,[387],[3],What are the two values of hazardous waste and non-hazardous waste processed in kilotonnes in 2019 when ranked in ascending order?,rank,"288.0, 375.0","[4, 5]","[3, 3]",1,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],306,[387],[3],Is the value of the total volume of processed waste in 2020 greater than the hazardous waste in 2020?,comparative,yes,"[3, 5]","[4, 4]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],306,[387],[3],What is the minimum volume of non-hazardous waste processed by the company from 2019 to 2023?,superlative,303,"[4, 4, 4, 4, 4]","[3, 4, 5, 6, 7]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],306,[387],[3],What are the three smallest values of hazardous waste processed in the years 2019 to 2022 in increasing order?,rank,"165.0, 176.0, 198.0","[5, 5, 5, 5]","[3, 4, 5, 6]",0,"{'desc': False, 'firstk': 3.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],306,[387],[3],What was the highest volume of non-hazardous waste processed by the company in the years 2019 to 2023?,superlative,375,"[4, 4, 4, 4, 4]","[3, 4, 5, 6, 7]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],306,[387],[3],Is the amount of hazardous waste processed in kilotons in 2022 higher than in 2023?,comparative,no,"[5, 5]","[6, 7]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],306,[387],[3],Is the volume of waste processed in 2019 for non-hazardous waste greater than for hazardous waste?,comparative,yes,"[4, 5]","[3, 3]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],306,[387],[3],Is the value of the processed volume of non hazardous waste in 2020 smaller than the amount of hazardous waste in 2020?,comparative,no,"[4, 5]","[4, 4]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],306,[387],[3],Is the value of the processed volume of non hazardous waste greater than the hazardous waste in the year 2021?,comparative,yes,"[4, 5]","[5, 5]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],306,[387],[3],"What are the two values of processed waste in increasing order in 2023, specifically for hazardous waste and non-hazardous waste?",rank,"202.0, 319.0","[4, 5]","[7, 7]",1,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],306,[387],[3],Is the volume of non-hazardous waste processed in the year 2019 smaller than the volume processed in 2022?,comparative,no,"[4, 4]","[3, 6]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],306,[387],[3],What was the highest volume of hazardous waste processed by the company in the years from 2019 to 2023?,superlative,288,"[5, 5, 5, 5, 5]","[3, 4, 5, 6, 7]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],306,[387],[3],What is the minimum volume of non-hazardous waste processed by the company from 2019 to 2023?,superlative,303,"[4, 4, 4, 4, 4]","[3, 4, 5, 6, 7]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],306,[387],[3],Is the amount of hazardous waste processed in kilotons for the year 2020 higher than for 2023?,comparative,no,"[5, 5]","[4, 7]",0,{'maximise': True}
['OTC_DPSGY_2023.pdf'],302,[3],[0],"What are the lowest three values of energy consumption (Scopes 1 and 2) from the years 2019, 2021, and 2023 in increasing order?",rank,"26199.0, 30486.0, 35056.0","[4, 4, 4]","[3, 5, 7]",0,"{'desc': False, 'firstk': 3.0, 'lowest-highest': 0.0}"
['OTC_DPSGY_2023.pdf'],305,[3],[0],"What are the top three percentages of logistic emissions from the years 2019, 2021, and the latest available year, ranked in descending order?",rank,"39.36, 33.27, 33.2","[2, 2, 2]","[3, 5, 7]",0,"{'desc': True, 'firstk': 3.0, 'lowest-highest': 1.0}"
['OTC_DPSGY_2023.pdf'],302,[3],[0],"What is the maximum energy consumption (in million kWh) recorded in the years 2019, 2021, and 2023?",superlative,35056,"[4, 4, 4]","[3, 5, 7]",0,{'maximise': True}
['NASDAQ_DASTY_2023.pdf'],302,[117],[0],What are the top two values of energy consumption (MWh) for the years 2022 and 2023 in decreasing order?,rank,"82766.0, 71218.0","[4, 4]","[2, 3]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['NASDAQ_DASTY_2023.pdf'],302,[117],[0],Is the energy consumption in MWh for the year 2022 lower than for 2023?,comparative,no,"[4, 4]","[3, 2]",0,{'maximise': False}
['NASDAQ_DASTY_2023.pdf'],305,[117],[0],Is the quantity of carbon credits acquired during the year in 2022 lower than in 2023?,comparative,yes,"[11, 11]","[3, 2]",0,{'maximise': False}
['NASDAQ_DASTY_2023.pdf'],302,[117],[0],"What are the energy consumption values in MWh for the years 2023 and 2022, ranked in ascending order?",rank,"71218.0, 82766.0","[4, 4]","[2, 3]",0,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 1.0}"
['NASDAQ_DASTY_2023.pdf'],305,[117],[0],What is the lowest carbon intensity in millions of euros of revenue IFRS reported in the years 2023 and 2022?,superlative,31.2,"[2, 2]","[2, 3]",0,{'maximise': False}
['NASDAQ_DASTY_2023.pdf'],305,[142],[0],Is the carbon intensity per employee (tCO2eq/employee) in 2023 greater than in 2022?,comparative,no,"[3, 3]","[2, 3]",0,{'maximise': True}
['NASDAQ_DASTY_2023.pdf'],305,[142],[0],What are the top two values for carbon intensity per employee (tCO2eq/employee) from the years 2022 and 2023 when ranked in descending order?,rank,"8.2, 8.1","[3, 3]","[2, 3]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['NASDAQ_DASTY_2023.pdf'],305,[142],[0],"What are the quantities of carbon credits acquired during the years 2022 and 2023, ranked in ascending order?",rank,"671.0, 673.0","[11, 11]","[2, 3]",0,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NASDAQ_DASTY_2023.pdf'],305,[142],[0],Is the quantity of carbon credits acquired during the year 2023 greater than in 2022?,comparative,yes,"[11, 11]","[2, 3]",0,{'maximise': True}
['NASDAQ_DASTY_2023.pdf'],305,[142],[0],Is the quantity of carbon credits acquired during the year in 2022 lower than in 2023?,comparative,yes,"[11, 11]","[3, 2]",0,{'maximise': False}
['NASDAQ_DASTY_2023.pdf'],306,[125],[0],Is the total weight of waste (in tons) for the year 2022 higher than for the year 2023?,comparative,yes,"[2, 2]","[3, 2]",0,{'maximise': True}
['NASDAQ_DASTY_2023.pdf'],306,[125],[0],"What are the weights of ordinary waste in tons for the year 2022 and 2023, ranked in descending order?",rank,"1274.0, 874.0","[3, 3]","[2, 3]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NASDAQ_DASTY_2023.pdf'],306,[125],[0],Is the weight of electrical waste in tons recorded in the year 2022 smaller than the weight recorded in 2023?,comparative,yes,"[4, 4]","[3, 2]",0,{'maximise': False}
['NASDAQ_DASTY_2023.pdf'],306,[125],[0],"What are the weights of electrical waste in tons for the years 2022 and 2023, ranked in ascending order?",rank,"47.5, 57.3","[4, 4]","[2, 3]",0,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NASDAQ_DASTY_2023.pdf'],306,[141],[0],What is the maximum weight of collected electric waste in tons reported for the years 2019 to 2023?,superlative,57.3,"[33, 33, 33, 33]","[3, 4, 5, 6]",0,{'maximise': True}
['NASDAQ_DASTY_2023.pdf'],306,[141],[0],Is the weight of collected electric waste smaller than the weight of ordinary waste in tons reported for the year 2023?,comparative,yes,"[33, 32]","[3, 3]",1,{'maximise': False}
['heidelberg-materials_2023.pdf'],305,[355],[0],What is the highest value of CO2 emissions between different business lines in 2023?,superlative,7.9,"[20, 21, 22, 23, 24, 25, 26]","[5, 5, 5, 5, 5, 5, 5]",1,{'maximise': True}
['heidelberg-materials_2023.pdf'],305,[355],[0],What is the lowest value of CO2 emissions between different business lines in 2023?,superlative,0.2,"[20, 21, 22, 23, 24, 25, 26]","[5, 5, 5, 5, 5, 5, 5]",1,{'maximise': False}
['heidelberg-materials_2023.pdf'],302,[355],[0],What is the highest energy consumption by source in 2021?,superlative,353640,"[29, 30, 31]","[3, 3, 3]",1,{'maximise': True}
['heidelberg-materials_2023.pdf'],305,[355],[0],Is the value of market based greater than location based CO2 emissions from external electrical power and thermal energy production per tonne of cementitious material in 2023?,comparative,yes,"[9, 10]","[5, 5]",1,{'maximise': True}
['heidelberg-materials_2023.pdf'],302,[355],[0],Is the amount of absolute energy consumption in TJ of cement higher than the amount of energy consumption due to clinker production in 2022?,comparative,yes,"[29, 30]","[4, 4]",1,{'maximise': True}
['heidelberg-materials_2023.pdf'],305,[355],[0],Is the value of net absolute CO2 emissions (Scope 1) lower than the gross absolute CO2 emissions recorded in 2022?,comparative,yes,"[4, 3]","[4, 4]",1,{'maximise': False}
['munich-re_2023.pdf'],303,[47],[0],What has been the raw highest change for water related indicators?,superlative,-9.3,"[4, 5, 3]","[5, 5, 5]",1,{'maximise': True}
['munich-re_2023.pdf'],303,[47],[0],Is the value for water intensity in 2023 lower than in 2022?,comparative,yes,"[5, 5]","[3, 4]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[144],[0],What are the two highest values of group total consumption of energy and total indirect consumption of energy in 2023 in descending order?,rank,"14715.0, 377.0","[4, 5]","[3, 3]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['OTC_SAPMY_2023.pdf'],302,[144],[0],"What is the minimum fully consolidated consumption of energy (in TJ) for the years 2021, 2022 and 2023?",superlative,13691,"[5, 5, 5]","[4, 6, 8]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[144],[0],"What are the energy intensity percentages from renewable sources for group and fully consolidated scenarios in 2023, ranked in ascending order?",rank,"9.76, 9.92","[6, 6]","[3, 4]",0,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['OTC_SAPMY_2023.pdf'],302,[144],[0],"What is the maximum energy intensity (in TJ/€mln) recorded in the years 2021, 2022, and 2023?",superlative,2.1,"[7, 7, 7]","[3, 5, 7]",0,{'maximise': True}
['OTC_SAPMY_2023.pdf'],302,[144],[0],Is the group total direct consumption of energy (in TJ) for the year 2022 greater than the year 2023?,comparative,yes,"[3, 3]","[5, 3]",0,{'maximise': True}
['OTC_SAPMY_2023.pdf'],302,[144],[0],"Independently of group or full consolidated total, what are the top five values of total indirect consumption of energy (in TJ) from the years 2021 to 2023, ranked in descending order?",rank,"696.0, 692.0, 380.0, 377.0, 366.0","[4, 4, 4, 4, 4, 4]","[3, 4, 5, 6, 7, 8]",0,"{'desc': True, 'firstk': 5.0, 'lowest-highest': 1.0}"
['OTC_SAPMY_2023.pdf'],302,[144],[0],Is the fully consolidated total consumption of energy (in TJ) in the year 2022 lower than the year 2023?,comparative,no,"[5, 5]","[6, 4]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[144],[0],"What is the minimum value between total, direct and indirect consumption of energy of the group in 2022?",superlative,696,"[3, 4, 5]","[5, 5, 5]",1,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[144],[0],"In 2023, what are the top three values obtained from ranking the total consumption of energy, total direct consumption of energy, and total indirect consumption of energy in descending order for the group?",rank,"14715.0, 14334.0, 377.0","[3, 4, 5]","[3, 3, 3]",1,"{'desc': True, 'firstk': 3.0, 'lowest-highest': 1.0}"
['OTC_SAPMY_2023.pdf'],302,[144],[0],Is the consumption of fully consolidated energy in TJ in 2023 lower than in 2021?,comparative,no,"[5, 5]","[4, 8]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[144],[0],Is the percentage of group energy from renewable sources higher than full consolidated energy from renewable sources in 2023?,comparative,no,"[6, 6]","[3, 4]",0,{'maximise': True}
['OTC_SAPMY_2023.pdf'],302,[144],[0],"What is the minimum energy intensity (in TJ/€mln) recorded in the years 2021, 2022, and 2023?",superlative,1.2,"[7, 7, 7]","[3, 5, 7]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[144],[0],Is the value of the group total direct consumption of energy greater than the value of the group total indirect consumption of energy for the year 2021?,comparative,yes,"[3, 4]","[7, 7]",1,{'maximise': True}
['OTC_SAPMY_2023.pdf'],302,[144],[0],"What is the maximum energy intensity (in TJ/€mln) recorded between the years 2021, 2022, 2023?",superlative,2.1,"[7, 7, 7]","[3, 5, 7]",1,{'maximise': True}
['OTC_SAPMY_2023.pdf'],302,[145],[0],Is the value of the total indirect consumption of energy in 2023 lower than the electricity consumed from renewable sources in 2023 for the group?,comparative,no,"[3, 5]","[3, 3]",1,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[145],[0],What is the minimum amount of fully consolidated electricity consumed from the grid (in MWh) across the years 2021 to 2023?,superlative,35329,"[4, 4, 4]","[4, 6, 8]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[145],[0],"In increasing order, what are the three smallest values of fully consolidated electricity self-produced from renewable sources (in MWh) for the years 2021, 2022, and 2023?",rank,"298.9, 365.2, 384.3","[7, 7, 7]","[4, 6, 8]",0,"{'desc': False, 'firstk': 3.0, 'lowest-highest': 0.0}"
['OTC_SAPMY_2023.pdf'],302,[145],[0],What is the highest group total indirect consumption of energy (in MWh) recorded in the years 2021 to 2023?,superlative,78551,"[3, 3, 3]","[3, 5, 7]",0,{'maximise': True}
['OTC_SAPMY_2023.pdf'],302,[145],[0],Is the electricity consumed from the grid in MWh from the group greater than the one consumed from fully consolidated scenarios in 2023?,comparative,yes,"[4, 4]","[3, 4]",0,{'maximise': True}
['OTC_SAPMY_2023.pdf'],302,[145],[0],"What are the two values of group thermal energy consumed in MWh for the years 2022 and 2023, in descending order?",rank,"10066.0, 1977.0","[6, 6]","[3, 5]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 0.0}"
['OTC_SAPMY_2023.pdf'],302,[145],[0],Is the amount of consumed energy produced from renewable sources in MWh for the year 2023 lower than in 2022?,comparative,yes,"[5, 5]","[3, 5]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[145],[0],"What are the three lowest values of electricity consumption from the grid, thermal energy consumed, and electricity self-produced from renewable sources in MWh for the year 2023 in ascending order?",rank,"384.3, 1977.0, 38134.0","[4, 6, 7]","[3, 3, 3]",1,"{'desc': False, 'firstk': 3.0, 'lowest-highest': 0.0}"
['OTC_SAPMY_2023.pdf'],302,[145],[0],Is the amount of full consolidated electricity consumed from the grid in MWh for the year 2021 smaller than in 2023?,comparative,no,"[4, 4]","[8, 4]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[145],[0],What is the highest amount of group electricity self-produced from renewable sources (in MWh) recorded in the years 2021 to 2023?,superlative,384.3,"[7, 7, 7]","[3, 5, 7]",0,{'maximise': True}
['OTC_SAPMY_2023.pdf'],302,[145],[0],"What is the minimum full consolidated total indirect consumption of energy (in MWh) recorded in the years 2021, 2022, and 2023?",superlative,37789,"[3, 3, 3]","[4, 6, 8]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],302,[145],[0],Is the group total electricity consumed from the grid in MWh in 2023 greater than in 2022?,comparative,no,"[4, 4]","[3, 5]",0,{'maximise': True}
['OTC_SAPMY_2023.pdf'],305,[147],[0],Is the value of location-based group total emissions for the year 2022 lower than market-based group total emissions for the same year?,comparative,no,"[4, 6]","[5, 5]",1,{'maximise': False}
['OTC_SAPMY_2023.pdf'],305,[147],[0],What is the fully consolidated minimum value of location-based total emissions recorded in the years 2021 to 2023?,superlative,2355.9,"[4, 4, 4]","[4, 6, 8]",0,{'maximise': False}
