,old_index,checked,"Error (0 no error, 1 value err, 2 unrelated, 3 hierarchical)",pdf name,gri,gri_finegrained,page nbr,table nbr,question,value,row,column
405,478,1,,NYSE_TTE_2023.pdf,305,"305-7.7, 305-4.1",306,3,What is the intensity of methane emissions from operated oil & gas facilities in 2015 in %?,0.23,5,5
406,479,1,,NYSE_TTE_2023.pdf,305,"305-7.7, 305-4.1",306,3,What is the intensity of methane emissions from operated gas facilities in 2023 in %?,<0.1,6,2
407,480,1,,NYSE_TTE_2023.pdf,305,"305-7.7, 305-4.1",306,3,What is the intensity of methane emissions from operated gas facilities in 2022 in %?,<0.1,6,3
408,481,1,,NYSE_TTE_2023.pdf,305,"305-7.7, 305-4.1",306,3,What is the intensity of methane emissions from operated gas facilities in 2021 in %?,<0.1,6,4
409,482,1,,NYSE_TTE_2023.pdf,305,"305-7.7, 305-4.1",306,3,What is the intensity of methane emissions from operated gas facilities in 2015 in %?,<0.1,6,5
410,483,1,,NYSE_TTE_2023.pdf,302,302-1.7,381,0,What was the net primary energy consumption in TWh for the year 2022?,166,25,6
411,484,1,,NYSE_TTE_2023.pdf,302,302-1.8,381,0,How much renewable energy was consumed in TWh in 2023?,2,26,7
412,485,1,,NYSE_TTE_2023.pdf,302,302-1.7,381,0,What was the net primary energy consumption in TWh for the year 2021?,148,25,5
413,486,1,,NYSE_TTE_2023.pdf,302,302-1.7,381,0,What was the net primary energy consumption in TWh for the year 2019?,160,25,3
414,487,1,,NYSE_TTE_2023.pdf,302,302-1.7,381,0,What was the net primary energy consumption in TWh for the year 2020?,147,25,4
415,488,1,,NYSE_TTE_2023.pdf,302,302-1.7,381,0,What was the net primary energy consumption in TWh for the year 2023?,157,25,7
416,489,1,,NYSE_TTE_2023.pdf,302,302-3.3,381,0,How many operated sites with an auditable energy management system were there in 2023?,34,29,7
417,490,1,,NYSE_TTE_2023.pdf,302,302-3.3,381,0,How many operated sites with annual consumption greater than 50 ktoe were there in 2021?,46,30,5
418,491,1,,NYSE_TTE_2023.pdf,302,302-3.3,381,0,How many operated sites with annual consumption greater than 50 ktoe were there in 2022?,46,30,6
419,492,1,,NYSE_TTE_2023.pdf,302,302-3.3,381,0,How many operated sites with annual consumption greater than 50 ktoe were there in 2020?,42,30,4
420,493,1,,NYSE_TTE_2023.pdf,302,302-5.2,381,0,What was the Global Energy Efficiency Indicator (GEEI) for the year 2022?,85.1,27,6
421,494,1,,NYSE_TTE_2023.pdf,302,302-5.2,381,0,What was the Global Energy Efficiency Indicator (GEEI) for the year 2021?,87,27,5
422,495,1,,NYSE_TTE_2023.pdf,302,302-5.2,381,0,What was the Global Energy Efficiency Indicator (GEEI) for the year 2020?,90.2,27,4
423,496,1,,NYSE_TTE_2023.pdf,302,302-5.2,381,0,What was the Global Energy Efficiency Indicator (GEEI) for the year 2019?,88,27,3
424,497,1,,NYSE_TTE_2023.pdf,302,302-5.2,381,0,What was the Global Energy Efficiency Indicator (GEEI) for the year 2015?,90.8,27,2
425,503,1,,NYSE_TTE_2023.pdf,302,302-1.13,381,0,What was the production of biogas in TWh for the year 2022?,1,17,6
426,504,1,,NYSE_TTE_2023.pdf,302,302-1.13,381,0,What was the production of biogas in TWh for the year 2021?,<1,17,5
427,505,1,,NYSE_TTE_2023.pdf,302,302-1.7,619,2,What was the net primary energy consumption (operated scope) in TWh for the year 2023?,157,2,3
428,506,1,,NYSE_TTE_2023.pdf,302,302-1.7,619,2,What was the net primary energy consumption (operated scope) in TWh for the year 2022?,166,2,4
429,507,1,,NYSE_TTE_2023.pdf,302,302-1.8,619,2,What was the renewable energy consumption (operated scope) in TWh for the year 2023?,2,3,3
430,508,1,,NYSE_TTE_2023.pdf,302,302-1.8,619,2,What was the renewable energy consumption (operated scope) in TWh for the year 2022?,1,3,4
431,509,1,,NYSE_TTE_2023.pdf,302,302-5.2,619,2,What was the global energy efficiency indicator (GEEI) for the year 2023?,86.4,4,3
432,510,1,,NYSE_TTE_2023.pdf,302,302-5.2,619,2,What was the global energy efficiency indicator (GEEI) for the year 2022?,85.1,4,4
433,511,1,,NYSE_TTE_2023.pdf,302,302-1.10,619,2,What was the flared gas (Upstream oil & gas activities operated scope) in Mm3/d for the year 2023?,2.5,5,3
434,512,1,,NYSE_TTE_2023.pdf,302,302-1.10,619,2,What was the flared gas (Upstream oil & gas activities operated scope) in Mm3/d for the year 2022?,3.3,5,4
435,513,1,3,NYSE_TTE_2023.pdf,302,302-1.10,619,2,What was the routine flaring in Mm3/d for the year 2023?,0.3,6,3
436,514,1,3,NYSE_TTE_2023.pdf,302,302-1.10,619,2,What was the routine flaring in Mm3/d for the year 2022?,0.5,6,4
437,525,1,,NYSE_TTE_2023.pdf,303,303-3.9,327,0,What was the amount of fresh water withdrawals excluding open loop cooling water in 2023 in Mcm?,102,2,3
438,526,1,,NYSE_TTE_2023.pdf,303,303-5.3,327,0,How much fresh water consumption was recorded in 2022 in Mcm?,80,3,4
439,527,1,,NYSE_TTE_2023.pdf,303,303-3.8,327,0,What is the volume of fresh water withdrawal in water stress areas for the year 2021 in Mcm?,54,4,5
440,528,1,,NYSE_TTE_2023.pdf,303,303-3.8,327,0,What was the fresh water withdrawal in water stress areas in 2023 measured in Mcm?,50,4,3
441,529,1,,NYSE_TTE_2023.pdf,303,303-3.9,327,0,How much fresh water withdrawals excluding open loop cooling water were there in 2021 in Mcm?,101,2,5
442,530,1,,NYSE_TTE_2023.pdf,303,303-5.3,327,0,What was the amount of fresh water consumption in 2023 in Mcm?,76,3,3
443,531,1,,NYSE_TTE_2023.pdf,303,303-3.8,327,0,How much fresh water withdrawal in water stress areas was reported in 2022 in Mcm?,55,4,4
444,532,1,,NYSE_TTE_2023.pdf,303,303-3.9,387,0,What was the amount of fresh water withdrawals excluding open loop cooling water in Mm3 in 2022?,107,13,6
445,533,1,,NYSE_TTE_2023.pdf,303,303-3.8,387,0,How much fresh water was withdrawn in water stress areas in 2023 in Mm3?,50,14,7
446,534,1,,NYSE_TTE_2023.pdf,303,303-5.3,387,0,What is the total amount of fresh water consumption recorded in 2021 in Mm3?,75,15,5
447,535,1,,NYSE_TTE_2023.pdf,304,304-1.1,387,0,What was the deforested area in hectares in 2023?,81,17,7
448,536,1,,NYSE_TTE_2023.pdf,304,304-1.1,387,0,What was the compensated area in hectares in 2023?,59,18,7
449,537,1,,NYSE_TTE_2023.pdf,304,304-1.1,387,0,What is the net deforestation in hectares for the year 2023?,22,19,7
450,538,1,,NYSE_TTE_2023.pdf,305,305-7.2,387,0,What was the amount of SO2 emissions in kilotonnes for the year 2022?,13,3,6
451,539,1,,NYSE_TTE_2023.pdf,305,305-7.1,387,0,How many kilotonnes of NOx emissions were recorded in 2021?,59,4,5
452,540,1,,NYSE_TTE_2023.pdf,305,305-7.6,387,0,What was the total particulate matter emissions measured in kilotonnes in 2023?,4.1,6,7
453,541,1,,NYSE_TTE_2023.pdf,303,303-4.11,387,0,What was the offshore continuous water discharges in mg/l for the year 2020?,12.8,8,4
454,542,1,,NYSE_TTE_2023.pdf,303,303-5.4,387,0,What percentage of sites met the target for offshore discharges quality in 2021?,92,9,5
455,543,1,,NYSE_TTE_2023.pdf,303,303-4.10,387,0,What was the onshore continuous water discharges hydrocarbon content in mg/l for the year 2022?,1.8,10,6
456,544,1,,NYSE_TTE_2023.pdf,305,303-5.4,387,0,What was the percentage of sites that met the 2030 target for onshore discharges quality in 2023?,86,11,7
457,550,1,,NYSE_TTE_2023.pdf,305,305-4.1,619,1,What was the lifecycle carbon intensity of energy products used by customers in 2023 in g CO2e/MJ?,87,2,3
458,551,1,,NYSE_TTE_2023.pdf,305,305-4.1,619,1,"What was the intensity of GHG emissions (Scope 1+2) of operated Upstream oil & gas activities in 2023, measured in kg CO2e/boe?",17,3,3
459,552,1,,NYSE_TTE_2023.pdf,305,305-4.1,619,1,"What was the intensity of GHG emissions (Scope 1+2) of Upstream oil & gas activities on equity basis in 2023, measured in kg CO2e/boe?",18,4,3
460,553,1,,NYSE_TTE_2023.pdf,305,305-4.1,619,1,"What was the intensity of methane emissions from operated oil & gas facilities (Upstream) in 2023, measured in %?",0.11,5,3
461,554,1,,NYSE_TTE_2023.pdf,305,305-4.1,619,1,"What was the intensity of methane emissions from operated gas facilities (Upstream) in 2023, measured in %?",<0.1,6,3
462,555,1,,NYSE_TTE_2023.pdf,305,305-3.1,619,0,What was the amount of Scope 3 emissions in 2023 in Mt CO2e?,355,2,3
463,556,1,,NYSE_TTE_2023.pdf,305,305-3.1,619,0,How many Mt CO2e Scope 3 were emitted in 2022?,389,2,4
464,557,1,,NYSE_TTE_2023.pdf,305,305-3.1,619,0,What is the Scope 3 emission figure for the year 2021 in Mt CO2e?,400,2,5
465,558,1,,NYSE_TTE_2023.pdf,305,305-3.1,619,0,What was the total Scope 3 emissions recorded in 2015 in Mt CO2e?,410,2,6
466,559,1,3,NYSE_TTE_2023.pdf,305,305-3.4,619,0,What is the amount of Scope 3 emissions from Europe (EU 27 + Norway + UK + Switzerland) in 2023 in Mt CO2e?,216,3,3
467,560,1,,NYSE_TTE_2023.pdf,305,305-3.4,619,0,How many Mt CO2e were attributed to Scope 3 emissions from Europe in 2022?,191,3,4
468,561,1,,NYSE_TTE_2023.pdf,305,305-3.4,619,0,What was the Scope 3 emissions figure for Europe in 2021 in Mt CO2e?,220,3,5
469,562,1,,NYSE_TTE_2023.pdf,305,305-3.4,619,0,What was the total Scope 3 emissions from Europe in 2015 in Mt CO2e?,256,3,6
470,563,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,What is the amount of oil-related emissions in 2023 in Mt CO2e?,227,4,3
471,564,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,How many Mt CO2e were emitted from oil in 2022?,254,4,4
472,565,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,What was the oil emission figure for the year 2021 in Mt CO2e?,285,4,5
473,566,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,What was the total oil emissions recorded in 2015 in Mt CO2e?,350,4,6
474,567,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,What is the amount of biofuels emissions in 2023 in Mt CO2e?,4,5,3
475,568,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,How many Mt CO2e were attributed to biofuels in 2022?,4,5,4
476,569,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,What was the biofuels emission figure for the year 2021 in Mt CO2e?,-,5,5
477,570,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,What was the total biofuels emissions recorded in 2015 in Mt CO2e?,-,5,6
478,571,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,What is the amount of gas-related emissions in 2023 in Mt CO2e?,124,6,3
479,572,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,How many Mt CO2e were emitted from gas in 2022?,130,6,4
480,573,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,What was the gas emission figure for the year 2021 in Mt CO2e?,115,6,5
481,574,1,,NYSE_TTE_2023.pdf,305,305-*.2,619,0,What was the total gas emissions recorded in 2015 in Mt CO2e?,60,6,6
482,575,1,,NYSE_TTE_2023.pdf,305,"305-1.1, 305-2.3",17,0,What was the value of Scope 1+2 emissions on operated activities in 2022 in Mt CO2e?,40,3,3
483,576,1,,NYSE_TTE_2023.pdf,305,"305-1.1, 305-2.3",17,0,What was the value of Scope 1+2 emissions on operated activities in 2023 in Mt CO2e?,35,3,4
484,577,1,,NYSE_TTE_2023.pdf,305,"305-1.1, 305-2.3",17,0,What is the target range for Scope 1+2 emissions on operated activities by 2025 in Mt CO2e?,<38,3,5
485,578,1,,NYSE_TTE_2023.pdf,305,"305-1.1, 305-2.3",17,0,What is the target range for Scope 1+2 emissions on operated activities by 2030 in Mt CO2e?,25-30,3,6
486,579,1,,NYSE_TTE_2023.pdf,305,305-7.7,17,0,What was the value of methane emissions on operated activities in 2022 in kt CH4?,42,5,3
487,580,1,,NYSE_TTE_2023.pdf,305,305-7.7,17,0,What was the value of methane emissions on operated activities in 2023 in kt CH4?,34,5,4
488,581,1,,NYSE_TTE_2023.pdf,305,"305-7.7, 305-5.1",17,0,What is the target reduction for methane emissions in kt CH4 on operated activities by 2025 in percentage?,-50,5,5
489,582,1,,NYSE_TTE_2023.pdf,305,"305-7.7, 305-5.1",17,0,What is the target reduction for methane emissions in kt CH4 on operated activities by 2030 in percentage?,-80,5,6
490,583,1,,NYSE_TTE_2023.pdf,305,"305-4.1, 305-5.1",17,0,What was the lifecycle carbon intensity reduction of energy products sold in 2022 in percentage?,-12,7,3
491,584,1,,NYSE_TTE_2023.pdf,305,"305-4.1, 305-5.1",17,0,What was the lifecycle carbon intensity reduction of energy products sold in 2023 in percentage?,-13,7,4
492,585,1,,NYSE_TTE_2023.pdf,305,"305-4.1, 305-5.1",17,0,What is the target reduction for lifecycle carbon intensity of energy products sold by 2025 in percentage?,-15,7,5
493,586,1,,NYSE_TTE_2023.pdf,305,"305-4.1, 305-5.1",17,0,What is the target reduction for lifecycle carbon intensity of energy products sold by 2030 in percentage?,-25,7,6
494,587,1,,NYSE_TTE_2023.pdf,305,305-3.1,17,0,What was the value of Scope 3 emissions worldwide in 2022 in Mt CO2e?,389,8,3
495,588,1,,NYSE_TTE_2023.pdf,305,305-3.1,17,0,What was the value of Scope 3 emissions worldwide in 2023 in Mt CO2e?,355,8,4
496,589,1,,NYSE_TTE_2023.pdf,305,305-3.1,17,0,What is the target for Scope 3 emissions worldwide by 2025 in Mt CO2e?,<400,8,5
497,590,1,,NYSE_TTE_2023.pdf,305,305-3.1,17,0,What is the target for Scope 3 emissions worldwide by 2030 in Mt CO2e?,<400,8,6
498,591,1,,NYSE_TTE_2023.pdf,305,305-3.4,17,0,What was the value of Scope 3 oil emissions in 2022 in Mt CO2e?,254,9,3
499,592,1,,NYSE_TTE_2023.pdf,305,305-3.4,17,0,What was the value of Scope 3 oil emissions in 2023 in Mt CO2e?,227,9,4
500,595,1,,NYSE_TTE_2023.pdf,305,305-1.1,184,0,What was the amount of direct GHG emissions in 2023 measured in Mt CO2e?,32,3,3
501,596,1,,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",184,0,How many Mt CO2e were attributed to the breakdown by segment - Upstream oil & gas activities in 2023?,12,4,3
502,597,1,3,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",184,0,"What is the value for the breakdown by segment - Integrated LNG, excluding upstream gas operations in 2022 measured in Mt CO2e?",<1,5,4
503,598,1,3,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",184,0,What was the amount of direct GHG emissions from the breakdown by segment - Integrated Power in 2021 in Mt CO2e?,5,6,5
504,599,1,3,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",184,0,How many Mt CO2e were reported for the breakdown by segment - Refining & Chemicals in 2023?,14,7,3
505,600,1,3,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",184,0,What was the value for the breakdown by geography - Europe in 2022 measured in Mt CO2e?,23,9,4
506,601,1,3,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",184,0,How much GHG emissions were recorded for Africa in 2023 in Mt CO2e?,8,11,3
507,603,1,,NYSE_TTE_2023.pdf,305,"305-2.3, 305-*.2",184,0,What was the value for indirect emissions from energy use in 2023 in Mt CO2e?,2,16,3
508,604,1,,NYSE_TTE_2023.pdf,305,"305-2.3, 305-*.2",184,0,How many Mt CO2e were attributed to Scope 1+2 - of which oil & gas facilities in 2022?,33,19,4
509,605,1,,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",184,0,What was the amount of direct emissions of biogenic CO2 in 2023 in Mt CO2e?,0.1,21,3
510,606,1,,NYSE_TTE_2023.pdf,305,305-7.7,185,0,What was the amount of methane emissions in 2023 measured in kt CH4?,34,3,3
511,607,1,3,NYSE_TTE_2023.pdf,305,"305-7.7, 305-*.2",185,0,How many kt CH4 were emitted from upstream oil & gas activities in 2022?,41,4,4
512,608,1,3,NYSE_TTE_2023.pdf,305,"305-7.7, 305-*.2",185,0,"What was the methane emission figure for integrated LNG in kt CH4, excluding upstream gas operations in 2021?",<1,5,5
513,609,1,3,NYSE_TTE_2023.pdf,305,"305-7.7, 305-*.2",185,0,What was the methane emission amount for refining & chemicals in 2015 in kt CH4?,1,7,6
514,610,1,3,NYSE_TTE_2023.pdf,305,"305-7.7, 305-*.2",185,0,What was the methane emission figure for Europe in 2023 measured in kt CH4?,5,9,3
515,611,1,3,NYSE_TTE_2023.pdf,305,"305-7.7, 305-*.2",185,0,How much methane was emitted in Africa in 2022 in kt CH4?,23,11,4
516,612,1,3,NYSE_TTE_2023.pdf,305,"305-7.7, 305-*.2",185,0,What was the methane emission amount for the Americas in 2021 in kt CH4?,18,12,5
517,613,1,,NYSE_TTE_2023.pdf,305,"305-4.1, 305-*.2",185,1,"What was the intensity of GHG emissions (Scope 1+2) from operated Upstream oil & gas activities in 2023, measured in kg CO2e/boe?",17,2,3
518,614,1,,NYSE_TTE_2023.pdf,305,"305-4.1, 305-*.2",185,1,"What was the intensity of methane emissions from operated oil & gas facilities (Upstream) in 2022, expressed as a percentage?",0.11,3,4
519,615,1,,NYSE_TTE_2023.pdf,305,"305-4.1, 305-*.2",185,1,"What was the intensity of methane emissions from operated gas facilities (Upstream) in 2021, expressed as a percentage?",<0.1,4,5
520,616,1,,NYSE_TTE_2023.pdf,305,"305-4.1, 305-*.2",185,1,"What was the intensity of GHG emissions (Scope 1+2) from operated Upstream oil & gas activities in 2015, measured in kg CO2e/boe?",21,2,6
521,617,1,,NYSE_TTE_2023.pdf,305,"305-4.1, 305-*.2",185,1,"What was the intensity of methane emissions from operated oil & gas facilities (Upstream) in 2021, expressed as a percentage?",0.13,3,5
522,618,1,,NYSE_TTE_2023.pdf,305,"305-4.1, 305-*.2",185,1,"What was the intensity of methane emissions from operated oil & gas facilities (Upstream) in 2015, expressed as a percentage?",0.23,3,6
523,619,1,,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",305,0,What was the total amount of direct GHG emissions from operated domains in 2023 measured in Mt CO2e?,32,3,3
524,620,1,,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",305,0,How much were the direct GHG emissions from operated domains in 2022 in Mt CO2e?,37,3,4
525,621,1,,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",305,0,What is the value of direct GHG emissions from operated domains recorded in 2021 in Mt CO2e?,34,3,5
526,622,1,,NYSE_TTE_2023.pdf,305,"305-1.1, 305-*.2",305,0,What was the amount of direct GHG emissions from operated domains in 2015 in Mt CO2e?,42,3,6
527,623,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total GHG emissions from operated domains and from upstream oil & gas activities in 2023 in Mt CO2e?,12,4,3
528,624,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the GHG emissions from operated domains and from upstream oil & gas activities in 2022 in Mt CO2e?,14,4,4
529,625,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of GHG emissions from operated domains and from upstream oil & gas activities recorded in 2021 in Mt CO2e?,14,4,5
530,626,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of GHG emissions from operated domains and from upstream oil & gas activities in 2015 in Mt CO2e?,19,4,6
531,627,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total GHG emissions from operated domains and from Integrated Power in 2023 in Mt CO2e?,6,6,3
532,628,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the GHG emissions from operated domains and from Integrated Power in 2022 in Mt CO2e?,9,6,4
533,629,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of GHG emissions from operated domains and from Integrated Power recorded in 2021 in Mt CO2e?,5,6,5
534,630,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of GHG emissions from operated domains and from Integrated Power in 2015 in Mt CO2e?,-,6,6
535,631,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total GHG emissions from operated domains and from Refining & Chemicals in 2023 in Mt CO2e?,14,7,3
536,632,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the GHG emissions from operated domains and from Refining & Chemicals in 2022 in Mt CO2e?,15,7,4
537,633,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of GHG emissions from operated domains and from Refining & Chemicals recorded in 2021 in Mt CO2e?,15,7,5
538,634,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of GHG emissions from operated domains and from Refining & Chemicals in 2015 in Mt CO2e?,22,7,6
539,635,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total GHG emissions from operated domains and from Europe (EU 27 + Norway + UK + Switzerland) in 2023 in Mt CO2e?,19,9,3
540,636,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the GHG emissions from operated domains and from Europe (EU 27 + Norway + UK + Switzerland) in 2022 in Mt CO2e?,23,9,4
541,637,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of GHG emissions from operated domains and from Europe (EU 27 + Norway + UK + Switzerland) recorded in 2021 in Mt CO2e?,20,9,5
542,638,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of GHG emissions from operated domains and from Europe (EU 27 + Norway + UK + Switzerland) in 2015 in Mt CO2e?,22,9,6
543,639,1,,NYSE_TTE_2023.pdf,305,"305-*.7, 305-*.2",305,0,What was the total amount of indirect emissions from operated domains and from energy use in 2023 in Mt CO2e?,2,16,3
544,640,1,,NYSE_TTE_2023.pdf,305,"305-*.7, 305-*.2",305,0,How much were the indirect emissions from operated domains and from energy use in 2022 in Mt CO2e?,2,16,4
545,641,1,,NYSE_TTE_2023.pdf,305,"305-*.7, 305-*.2",305,0,What is the value of indirect emissions from operated domains and from energy use recorded in 2021 in Mt CO2e?,2,16,5
546,642,1,,NYSE_TTE_2023.pdf,305,"305-*.7, 305-*.2",305,0,What was the amount of indirect emissions from operated domains and from energy use in 2015 in Mt CO2e?,4,16,6
547,643,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total GHG emissions from operated domains and from Scope 1+2 in 2023 in Mt CO2e?,35,18,3
548,644,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the GHG emissions from operated domains and from Scope 1+2 in 2022 in Mt CO2e?,40,18,4
549,645,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of GHG emissions from operated domains and from Scope 1+2 recorded in 2021 in Mt CO2e?,37,18,5
550,646,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of GHG emissions from operated domains and from Scope 1+2 in 2015 in Mt CO2e?,46,18,6
551,647,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total amount of biogenic CO2 emissions from operated domains in 2023 in Mt CO2e?,0.1,21,3
552,648,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the biogenic CO2 emissions from operated domains in 2022 in Mt CO2e?,0.1,21,4
553,649,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of biogenic CO2 emissions from operated domains recorded in 2021 in Mt CO2e?,-,21,5
554,650,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of biogenic CO2 emissions from operated domains in 2015 in Mt CO2e?,-,21,6
555,651,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total GHG emissions from equity interest domains and from upstream oil & gas activities in 2023 in Mt CO2e?,19,4,7
556,652,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the GHG emissions from equity interest domains and from upstream oil & gas activities in 2022 in Mt CO2e?,22,4,8
557,653,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of GHG emissions from equity interest domains and from upstream oil & gas activities recorded in 2021 in Mt CO2e?,23,4,9
558,654,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of GHG emissions from equity interest domains and from upstream oil & gas activities in 2015 in Mt CO2e?,22,4,10
559,655,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total GHG emissions from equity interest domains and from Integrated Power in 2023 in Mt CO2e?,6,6,7
560,656,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the GHG emissions from equity interest domains and from Integrated Power in 2022 in Mt CO2e?,9,6,8
561,657,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of GHG emissions from equity interest domains and from Integrated Power recorded in 2021 in Mt CO2e?,5,6,9
562,658,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of GHG emissions from equity interest domains and from Integrated Power in 2015 in Mt CO2e?,-,5,10
563,659,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total GHG emissions from equity interest domains and from Refining & Chemicals in 2023 in Mt CO2e?,18,7,7
564,660,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the GHG emissions from equity interest domains and from Refining & Chemicals in 2022 in Mt CO2e?,20,7,8
565,661,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of GHG emissions from equity interest domains and from Refining & Chemicals recorded in 2021 in Mt CO2e?,19,7,9
566,662,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of GHG emissions from equity interest domains and from Refining & Chemicals in 2015 in Mt CO2e?,27,7,10
567,663,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total GHG emissions from equity interest domains and from Europe (EU 27 + Norway + UK + Switzerland) in 2023 in Mt CO2e?,18,9,7
568,664,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the GHG emissions from equity interest domains and from Europe (EU 27 + Norway + UK + Switzerland) in 2022 in Mt CO2e?,21,9,8
569,665,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of GHG emissions from equity interest domains and from Europe (EU 27 + Norway + UK + Switzerland) recorded in 2021 in Mt CO2e?,18,9,9
570,666,1,3,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of GHG emissions from equity interest domains and from Europe (EU 27 + Norway + UK + Switzerland) in 2015 in Mt CO2e?,22,9,10
571,667,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total amount of indirect emissions from equity interest domains and from energy use in 2023 in Mt CO2e?,4,16,7
572,668,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the indirect emissions from equity interest domains and from energy use in 2022 in Mt CO2e?,5,16,8
573,669,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of indirect emissions from equity interest domains and from energy use recorded in 2021 in Mt CO2e?,5,16,9
574,670,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of indirect emissions from equity interest domains and from energy use in 2015 in Mt CO2e?,-,16,10
575,671,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total GHG emissions from equity interest domains and from Scope 1+2 in 2023 in Mt CO2e?,49,18,7
576,672,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,How much were the GHG emissions from equity interest domains and from Scope 1+2 in 2022 in Mt CO2e?,56,18,8
577,673,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What is the value of GHG emissions from equity interest domains and from Scope 1+2 recorded in 2021 in Mt CO2e?,54,18,9
578,674,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the amount of GHG emissions from equity interest domains and from Scope 1+2 in 2015 in Mt CO2e?,-,18,10
579,675,1,,NYSE_TTE_2023.pdf,305,305-*.2,305,0,What was the total amount of biogenic CO2 emissions from equity interest domains in 2023 in Mt CO2e?,0.1,21,7
