,companies,answer_value,answer_company,unit,years,question,operation,GRI,out
92,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[61.9   1.89],['OTC_RWNEF' 'OTC_BAYZF'],Million metric tons of CO2 equivalents,[2023],What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"61.9, 1.89"
93,"['OTC_BAYZF_2023_132_0', 'OTC_CRERF_2023_72_0', 'OTC_ESOCF_2023_139_0']",45.2,OTC_ESOCF,millions of cu.m,"[2023, 2022]",What is the highest water consumption in the years 2023 and 2022 for the following companies in millions of cu.m?,sup,303,45.2
94,"['OTC_ESOCF_2023_137_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",[5100000.   37172.],['OTC_ESOCF' 'axa'],TCO2eq,[2022],What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"5100000.0, 37172.0"
95,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",[  3193.  14249. 142457.],['NASDAQ_DASTY' 'munich-re' 'OTC_ADDDF'],tons CO2e,[2023],What are the 3 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"3193.0, 14249.0, 142457.0"
96,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",[1.12 0.14 0.03],['OTC_BAYZF' 'OTC_ADDDF' 'NYSE_AZ'],Million metric tons of CO2 equivalents,[2022],Which companies have the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_BAYZF, OTC_ADDDF, NYSE_AZ"
97,"['NYSE_TTE_2023_381_0', 'OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0']",[12.24 35.06],['deutsche-telekom-ag' 'OTC_DPSGY'],TWh,[2023],What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in TWh?,rank,302,"12.24, 35.06"
98,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0', 'vivendi_2023_140_0']",[322000. 123311.   8430.],['NYSE_TTE' 'OTC_SU' 'vivendi'],tons,[2022],Which companies have the 3 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in tons?,rank,306,"NYSE_TTE, OTC_SU, vivendi"
99,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",3414270.0,,tCO2e,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,sum,305,3414270.0
100,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",21600000.0,OTC_RWNEF,tCO2-eq,[2023],What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,sup,305,21600000.0
101,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",[1.11 0.2 ],['OTC_BAYZF' 'OTC_RWNEF'],Million metric tons of CO2 equivalents,[2023],Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_BAYZF, OTC_RWNEF"
102,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0', 'heidelberg-materials_2023_358_0']",953.1,heidelberg-materials,kt,"[2023, 2022]",What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,sup,306,953.1
103,"['OTC_ADDDF_2023_84_0', 'OTC_ESOCF_2023_137_0', 'axa_2023_179_0']",4.51,OTC_ESOCF,MtCO2eq,[2023],Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,sup,305,OTC_ESOCF
104,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",7799933.0,OTC_ADDDF,tons CO2e,[2022],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tons CO2e?,sup,305,OTC_ADDDF
105,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",30712.0,axa,TCO2eq,[2023],What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,sup,305,30712.0
106,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",[  3193.  14249. 142457.],['NASDAQ_DASTY' 'munich-re' 'OTC_ADDDF'],tons CO2e,[2023],Which companies have the 3 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"NASDAQ_DASTY, munich-re, OTC_ADDDF"
107,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",30712.0,axa,TCO2eq,[2023],Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,sup,305,axa
108,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",0.41,,million mt CO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,mean,305,0.41
109,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0', 'munich-re_2023_46_0']",[21598. 31774. 33093.],['axa' 'NYSE_AZ' 'munich-re'],tCO2eq,[2023],What are the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,rank,305,"21598.0, 31774.0, 33093.0"
110,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'vivendi_2023_105_0']",142457.0,OTC_ADDDF,tons CO2e,[2023],Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,sup,305,OTC_ADDDF
111,"['NASDAQ_DASTY_2023_117_0', 'deutsche-telekom-ag_2023_46_0', 'munich-re_2023_47_1']",13253000,deutsche-telekom-ag,MWh,"[2023, 2022]",What is the highest energy consumed in the last 2 years among the following companies in MWh?,sup,302,13253000
112,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[0.02 0.2  3.28],['vivendi' 'OTC_RWNEF' 'OTC_ESOCF'],MtCO2eq,[2023],What are the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,rank,305,"0.02, 0.2, 3.28"
113,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",[0.02 1.89],['OTC_ADDDF' 'OTC_BAYZF'],MtCO2eq,[2023],Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,rank,305,"OTC_ADDDF, OTC_BAYZF"
114,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",[1110000.  142457.],['OTC_BAYZF' 'OTC_ADDDF'],tCO2e,[2023],What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"1110000.0, 142457.0"
115,"['OTC_BAMGF_2023_310_0', 'OTC_BAYZF_2023_132_0', 'OTC_CRERF_2023_72_0']",[5.05 6.78],['OTC_BAMGF' 'OTC_BAYZF'],millions of cu.m,[2023],What are the top 2 lowest water consumption values (in ascending order) for the year 2023 among the following companies in millions of cu.m?,rank,303,"5.05, 6.78"
116,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",1313193.0,,tCO2-eq,[2023],What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,sum,305,1313193.0
117,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[3280000.  200000.],['OTC_ESOCF' 'OTC_RWNEF'],TCO2eq,[2023],What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"3280000.0, 200000.0"
118,"['NYSE_AZ_2023_60_0', 'OTC_BAYZF_2023_63_0', 'axa_2023_179_0']",0.38,,Million metric tons of CO2 equivalents,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,mean,305,0.38
119,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'OTC_ESOCF_2023_137_0']",[  30490.  142293. 5100000.],['NYSE_AZ' 'OTC_ADDDF' 'OTC_ESOCF'],tCO2e,[2022],Which companies have the 3 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"NYSE_AZ, OTC_ADDDF, OTC_ESOCF"
120,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",[0.14 0.2  1.11],['OTC_ADDDF' 'OTC_RWNEF' 'OTC_BAYZF'],Million metric tons of CO2 equivalents,[2023],Which companies have the 3 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_ADDDF, OTC_RWNEF, OTC_BAYZF"
121,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",[0.17 7.64],['NASDAQ_DASTY' 'OTC_ADDDF'],million mt CO2e,[2022],What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in million mt CO2e?,rank,305,"0.17, 7.64"
122,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'vivendi_2023_105_0']",142457.0,OTC_ADDDF,tons CO2e,[2023],What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,sup,305,142457.0
123,"['OTC_BAMGF_2023_310_0', 'OTC_BAYZF_2023_132_0', 'OTC_ESOCF_2023_139_0']",[35.4   6.78],['OTC_ESOCF' 'OTC_BAYZF'],millions of m3,[2023],What are the top 2 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of m3?,rank,303,"35.4, 6.78"
124,"['NASDAQ_DASTY_2023_141_0', 'OTC_RWNEF_2023_79_0', 'axa_2023_179_0']",[0.00e+00 2.00e-02 6.19e+01],['NASDAQ_DASTY' 'axa' 'OTC_RWNEF'],million mt CO2e,[2023],Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,rank,305,"NASDAQ_DASTY, axa, OTC_RWNEF"
125,"['OTC_BAYZF_2023_63_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",0.39,,Million metric tons of CO2 equivalents,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,mean,305,0.39
126,"['NASDAQ_DASTY_2023_117_0', 'NYSE_TTE_2023_381_0', 'OTC_DPSGY_2023_3_0']",[7.1218e+04 3.5056e+07 1.5700e+08],['NASDAQ_DASTY' 'OTC_DPSGY' 'NYSE_TTE'],MWh,[2023],What are the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,rank,302,"71218.0, 35056000.0, 157000000.0"
127,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",[0.17 7.64],['NASDAQ_DASTY' 'OTC_ADDDF'],million mt CO2e,[2022],Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in million mt CO2e?,rank,305,"NASDAQ_DASTY, OTC_ADDDF"
128,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0', 'munich-re_2023_46_0']",22.92,,Million metric tons of CO2 equivalents,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,mean,305,22.92
129,"['NYSE_TTE_2023_387_3', 'OTC_BAMGF_2023_311_0', 'OTC_CRERF_2023_79_0']",1748544,,,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,1748544
130,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",5894811.0,OTC_ADDDF,tCO2-eq,[2023],Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,sup,305,OTC_ADDDF
131,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",[1.11 0.2  0.14],['OTC_BAYZF' 'OTC_RWNEF' 'OTC_ADDDF'],million mt CO2e,[2023],What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,rank,305,"1.11, 0.2, 0.14"
132,"['OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",[200000. 142457.  14249.],['OTC_RWNEF' 'OTC_ADDDF' 'munich-re'],tCO2e,[2023],What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"200000.0, 142457.0, 14249.0"
133,"['OTC_BAMGF_2023_310_0', 'OTC_CRERF_2023_72_0', 'OTC_ESOCF_2023_139_0']",[35.4   8.2   5.05],['OTC_ESOCF' 'OTC_CRERF' 'OTC_BAMGF'],millions of m3,[2023],Which companies have the top 3 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of m3?,rank,303,"OTC_ESOCF, OTC_CRERF, OTC_BAMGF"
134,"['OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",[6.1900e+07 3.3093e+04],['OTC_RWNEF' 'munich-re'],tons CO2e,[2023],What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,rank,305,"61900000.0, 33093.0"
135,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",0.08,,million mt CO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,mean,305,0.08
136,"['OTC_ESOCF_2023_137_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",3.89,,MtCO2eq,[2022],What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,sum,305,3.89
137,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",[0.14 0.2  1.11],['OTC_ADDDF' 'OTC_RWNEF' 'OTC_BAYZF'],Million metric tons of CO2 equivalents,[2023],What are the 3 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"0.14, 0.2, 1.11"
138,"['NASDAQ_DASTY_2023_117_0', 'OTC_SU_2023_310_1', 'deutsche-telekom-ag_2023_46_0']",1201276,OTC_SU,,"[2023, 2022]",What is the largest energy consumption from 2022 to 2023 among the following companies?,sup,302,1201276
139,"['NASDAQ_DASTY_2023_117_0', 'NYSE_TTE_2023_381_0', 'heidelberg-materials_2023_374_0']",[7.121800e+04 9.160424e+07 1.570000e+08],['NASDAQ_DASTY' 'heidelberg-materials' 'NYSE_TTE'],MWh,[2023],What are the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,rank,302,"71218.0, 91604239.95, 157000000.0"
140,"['deutsche-telekom-ag_2023_46_0', 'munich-re_2023_47_1', 'prosiebensat1-media_2023_64_0']",98362.39,,,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,98362.39
141,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",4.34,,Million metric tons of CO2 equivalents,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in Million metric tons of CO2 equivalents?,mean,305,4.34
142,"['OTC_ESOCF_2023_137_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",[5100000.   37172.],['OTC_ESOCF' 'axa'],TCO2eq,[2022],Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"OTC_ESOCF, axa"
143,"['OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",85.4,OTC_RWNEF,million mt CO2e,"[2023, 2022]",Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in million mt CO2e?,sup,305,OTC_RWNEF
144,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[200000. 112228.  22042.],['OTC_RWNEF' 'NYSE_AZ' 'vivendi'],tCO2e,[2023],Which companies have the 3 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"OTC_RWNEF, NYSE_AZ, vivendi"
145,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",[142457.  14249.   3193.],['OTC_ADDDF' 'munich-re' 'NASDAQ_DASTY'],tCO2-eq,[2023],Which companies have the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,rank,305,"OTC_ADDDF, munich-re, NASDAQ_DASTY"
146,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",[  3193. 142457.],['NASDAQ_DASTY' 'OTC_ADDDF'],tons CO2e,[2023],Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"NASDAQ_DASTY, OTC_ADDDF"
147,"['NYSE_TTE_2023_381_0', 'OTC_SU_2023_310_1', 'munich-re_2023_47_1']",[157.     1.12],['NYSE_TTE' 'OTC_SU'],TWh,[2023],What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TWh?,rank,302,"157.0, 1.12"
148,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0', 'vivendi_2023_140_0']",[  8430. 123311.],['vivendi' 'OTC_SU'],tons,[2022],Which companies have the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,rank,306,"vivendi, OTC_SU"
149,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0']",56.53,OTC_ESOCF,million mt CO2e,[2023],Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in million mt CO2e?,sup,305,OTC_ESOCF
150,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",[5100000. 1120000.  142293.],['OTC_ESOCF' 'OTC_BAYZF' 'OTC_ADDDF'],tons CO2e,[2022],Which companies have the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,rank,305,"OTC_ESOCF, OTC_BAYZF, OTC_ADDDF"
151,"['NASDAQ_DASTY_2023_117_0', 'OTC_DPSGY_2023_3_0', 'OTC_SU_2023_310_1']",424856.0,,,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,424856.0
152,"['OTC_BAMGF_2023_310_0', 'OTC_BAYZF_2023_132_0', 'OTC_ESOCF_2023_139_0']",[35.4   6.78],['OTC_ESOCF' 'OTC_BAYZF'],millions of m3,[2023],Which companies have the top 2 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of m3?,rank,303,"OTC_ESOCF, OTC_BAYZF"
153,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",[1.12 0.14 0.03],['OTC_BAYZF' 'OTC_ADDDF' 'NYSE_AZ'],Million metric tons of CO2 equivalents,[2022],What are the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"1.12, 0.14, 0.03"
154,"['OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",86867.67,,tons CO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,mean,305,86867.67
155,"['OTC_SU_2023_310_1', 'deutsche-telekom-ag_2023_46_0', 'heidelberg-materials_2023_374_0']",363226.0,heidelberg-materials,TJ,"[2023, 2022, 2021]",What is the highest energy consumed in the last 3 years among the following companies in TJ?,sup,302,363226.0
156,"['OTC_SU_2023_309_0', 'heidelberg-materials_2023_358_0', 'vivendi_2023_140_0']",953100.0,heidelberg-materials,tons,"[2023, 2022]",What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in tons?,sup,306,953100.0
157,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0']",[3280000.  200000.  112228.],['OTC_ESOCF' 'OTC_RWNEF' 'NYSE_AZ'],tCO2e,[2023],What are the 3 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"3280000.0, 200000.0, 112228.0"
158,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",[7635784. 3130824.],['OTC_ADDDF' 'munich-re'],TCO2eq,[2022],Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"OTC_ADDDF, munich-re"
159,"['NASDAQ_DASTY_2023_141_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",[3130824.  770748.  168709.],['munich-re' 'vivendi' 'NASDAQ_DASTY'],tCO2-eq,[2022],What are the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2-eq?,rank,305,"3130824.0, 770748.0, 168709.0"
160,"['OTC_RWNEF_2023_79_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",[200000.  42423.],['OTC_RWNEF' 'axa'],TCO2eq,[2023],What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"200000.0, 42423.0"
161,"['NASDAQ_DASTY_2023_117_0', 'NYSE_TTE_2023_381_0', 'heidelberg-materials_2023_374_0']",[7.121800e+04 9.160424e+07 1.570000e+08],['NASDAQ_DASTY' 'heidelberg-materials' 'NYSE_TTE'],MWh,[2023],Which companies have the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,rank,302,"NASDAQ_DASTY, heidelberg-materials, NYSE_TTE"
162,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0', 'munich-re_2023_46_0']",[3.451e+01 1.890e+00 3.000e-02],['OTC_ESOCF' 'OTC_BAYZF' 'munich-re'],Million metric tons of CO2 equivalents,[2023],What are the 3 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"34.51, 1.89, 0.03"
163,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'axa_2023_179_0']",[30490. 37172.],['NYSE_AZ' 'axa'],tons CO2e,[2022],Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"NYSE_AZ, axa"
164,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0', 'munich-re_2023_46_0']",71040000.0,OTC_ESOCF,tCO2e,[2022],What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,sup,305,71040000.0
165,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'vivendi_2023_105_0']",[9720000. 7635784.  770748.],['OTC_BAYZF' 'OTC_ADDDF' 'vivendi'],tons CO2e,[2022],What are the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,rank,305,"9720000.0, 7635784.0, 770748.0"
166,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",9.72,OTC_BAYZF,Million metric tons of CO2 equivalents,[2022],Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in Million metric tons of CO2 equivalents?,sup,305,OTC_BAYZF
167,"['NASDAQ_DASTY_2023_117_0', 'NYSE_TTE_2023_381_0', 'deutsche-telekom-ag_2023_46_0']",0.07,NASDAQ_DASTY,TWh,"[2023, 2022]",What is the lowest energy consumption over the last 2 years among the following companies in TWh?,sup,302,0.07
168,"['OTC_BAMGF_2023_310_0', 'OTC_CRERF_2023_72_0', 'OTC_ESOCF_2023_139_0']",[ 5.05  8.2  35.4 ],['OTC_BAMGF' 'OTC_CRERF' 'OTC_ESOCF'],millions of cu.m,[2023],What are the top 3 lowest water consumption values (in ascending order) for the year 2023 among the following companies in millions of cu.m?,rank,303,"5.05, 8.2, 35.4"
169,"['NYSE_TTE_2023_387_3', 'OTC_BAMGF_2023_311_0', 'vivendi_2023_140_0']",927.88,OTC_BAMGF,kt,"[2023, 2022]",Which company has the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,sup,306,OTC_BAMGF
170,"['OTC_SU_2023_310_1', 'deutsche-telekom-ag_2023_46_0', 'heidelberg-materials_2023_374_0']",504656.67,,,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,504656.67
171,"['OTC_BAYZF_2023_132_0', 'OTC_CRERF_2023_72_0', 'munich-re_2023_47_0']",5.79,,million cubic meters,"[2023, 2022]",What is the average of total water consumption in the years 2023 and 2022 among the following companies in million cubic meters?,mean,303,5.79
172,"['NASDAQ_DASTY_2023_117_0', 'OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0']",35056.0,OTC_DPSGY,million kWh,"[2023, 2022]",What is the highest energy consumed in the last 2 years among the following companies in million kWh?,sup,302,35056.0
173,"['OTC_ADDDF_2023_84_0', 'OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",5100000.0,OTC_ESOCF,TCO2eq,[2022],What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,sup,305,5100000.0
174,"['NYSE_TTE_2023_381_0', 'OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0']",[12.24 35.06],['deutsche-telekom-ag' 'OTC_DPSGY'],TWh,[2023],Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in TWh?,rank,302,"deutsche-telekom-ag, OTC_DPSGY"
175,"['OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",[200000. 142457.  14249.],['OTC_RWNEF' 'OTC_ADDDF' 'munich-re'],tCO2e,[2023],Which companies have the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"OTC_RWNEF, OTC_ADDDF, munich-re"
176,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",245617.0,,tons CO2e,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,sum,305,245617.0
177,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",[1.11 0.2 ],['OTC_BAYZF' 'OTC_RWNEF'],Million metric tons of CO2 equivalents,[2023],What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"1.11, 0.2"
