,GRI,GRI finegrained,Operation,Question,Value,PDF name,Page numbers,Table numbers,Row numbers
70,306,306-5.1,multistep,,,"['terna_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[295], [311]]","[[0], [0]]","[['6'], ['4']]"
71,308,308-1.1,multistep,,,"['terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[224, 223, 221, 221, 221, 220, 220, 222, 222], [204], [162], [312], [70, 98, 88], [88, 88]]","[[0, 0, 0, 1, 2, 0, 1, 0, 1], [0], [0], [0], [0, 0, 0], [0, 1]]","[['3', '3', '2', '2', '2', '2', '2', '3', '2'], ['6'], ['12'], ['2'], ['8', '2', '6'], ['2', '2']]"
72,301,301-1.1,rel_superlative,,,"['terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf']","[[294], [358, 356]]","[[0], [0, 0]]","[['2'], ['12', '8']]"
73,301,301-2.1,rel_ranking,,,"['OTC_SU_2023.pdf', 'OTC_MBGAF_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[308], [109], [90, 110], [71]]","[[1], [0], [0, 0], [0]]","[['2'], ['2'], ['3', '4'], ['2']]"
74,301,301-3.1,quant_sum,,,"['OTC_SU_2023.pdf', 'heidelberg-materials_2023.pdf']","[[308], [358]]","[[1], [0]]","[['3'], ['10']]"
75,302,302-1.1,quant_avg,,,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'OTC_DPSGY_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311, 310], [68], [61], [356], [110], [47], [308, 325, 326]]","[[0, 1], [0], [2], [0], [0], [1], [0, 0, 0]]","[['9', '19'], ['3'], ['3'], ['28'], ['7'], ['10'], ['18', '3', '6']]"
76,302,"302-1.1, 302-1.6",multistep,,,"['OTC_DPSGY_2023.pdf', 'vivendi_2023.pdf']","[[68], [141]]","[[0], [0]]","[['4'], ['11']]"
77,302,302-1.10,multistep,,,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'brenntag_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311, 310], [619], [110], [141], [308]]","[[0, 1], [2], [0], [0], [0]]","[['10', '20'], ['5'], ['6'], ['6'], ['13']]"
78,302,302-1.12,multistep,,,"['OTC_SU_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf']","[[311], [61], [110]]","[[0], [3], [0]]","[['6'], ['2'], ['4']]"
79,302,302-1.15,multistep,,,"['brenntag_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[110], [308]]","[[0], [0]]","[['9'], ['15']]"
80,302,302-1.16,rel_superlative,,,"['munich-re_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[47], [308]]","[[1], [0]]","[['9'], ['12']]"
81,302,302-1.2,rel_ranking,,,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[311, 310], [117], [61], [110], [47], [145], [141], [308, 325, 326], [86, 87]]","[[0, 1], [0], [2], [0], [1], [0], [0], [0, 0, 0], [0, 0]]","[['3', '15'], ['7'], ['2'], ['2'], ['6'], ['5'], ['5'], ['10', '4', '2'], ['11', '16']]"
82,302,302-1.3,quant_sum,,,"['OTC_SU_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311], [61], [110], [47], [145], [308]]","[[0], [2], [0], [1], [0], [0]]","[['8'], ['4'], ['5'], ['8'], ['7'], ['11']]"
83,302,302-1.6,quant_avg,,,"['fresenius_2023.pdf', 'NYSE_AZ_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf']","[[191], [61, 61], [356, 374, 355]]","[[0], [1, 2], [0, 0, 0]]","[['2'], ['2', '5'], ['4', '18', '29']]"
84,302,302-1.7,multistep,,,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'OTC_CRERF_2023.pdf']","[[310], [191], [381, 619], [68, 3], [64], [132], [117], [287, 288], [61], [374], [47], [144], [141], [308], [2, 46, 136], [87]]","[[1], [0], [0, 2], [0, 0], [0], [0], [0], [1, 0], [1], [0], [1], [0], [0], [0], [0, 0, 0], [0]]","[['4'], ['5'], ['25', '2'], ['2', '4'], ['2'], ['21'], ['4'], ['5', '8'], ['4'], ['16'], ['11'], ['3'], ['19'], ['3'], ['44', '4', '5'], ['6']]"
85,302,"302-1.7, 302-1.6",multistep,,,"['OTC_DPSGY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[68], [141], [308]]","[[0], [0], [0]]","[['5'], ['10'], ['5']]"
86,302,302-1.8,multistep,,,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'prosiebensat1-media_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_MBGAF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[311, 310], [381, 619], [68, 3], [64], [110, 117], [356, 374], [47], [144, 145], [106, 106], [308], [86], [86]]","[[0, 1], [0, 2], [0, 0], [0], [0, 0], [0, 0], [1], [0, 0], [0, 1], [0], [0], [0]]","[['3', '11'], ['26', '3'], ['7', '5'], ['3'], ['2', '6'], ['2', '19'], ['7'], ['6', '8'], ['5', '3'], ['17'], ['4'], ['16']]"
87,302,302-1.9,multistep,,,"['OTC_SU_2023.pdf', 'prosiebensat1-media_2023.pdf']","[[310], [64]]","[[1], [0]]","[['12'], ['4']]"
88,302,302-3.1,rel_superlative,,,"['OTC_SAPMY_2023.pdf', 'OTC_CRERF_2023.pdf']","[[144], [87]]","[[0], [0]]","[['7'], ['13']]"
89,302,302-3.3,rel_ranking,,,"['NYSE_TTE_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[381], [446], [86]]","[[0], [0], [0]]","[['29'], ['8'], ['15']]"
90,302,302-3.4,quant_sum,,,"['fresenius_2023.pdf', 'prosiebensat1-media_2023.pdf']","[[191], [64]]","[[1], [0]]","[['2'], ['8']]"
91,303,303-3.1,quant_avg,,,"['OTC_SU_2023.pdf', 'heidelberg-materials_2023.pdf']","[[310], [359]]","[[0], [0]]","[['4'], ['3']]"
92,303,303-3.10,multistep,,,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf']","[[310], [186], [358], [139]]","[[0], [0], [0], [0]]","[['3'], ['4'], ['31'], ['2']]"
93,303,303-3.2,multistep,,,"['OTC_SU_2023.pdf', 'heidelberg-materials_2023.pdf']","[[310], [359]]","[[0], [0]]","[['5'], ['4']]"
94,303,303-3.5,multistep,,,"['OTC_SU_2023.pdf', 'heidelberg-materials_2023.pdf']","[[310], [359]]","[[0], [0]]","[['6'], ['28']]"
95,303,303-3.8,multistep,,,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf']","[[310], [327, 387], [358], [139]]","[[0], [0, 0], [0], [0]]","[['11'], ['4', '14'], ['32'], ['3']]"
96,303,303-3.9,rel_superlative,,,"['NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_ESOCF_2023.pdf']","[[327, 387], [139]]","[[0, 0], [0]]","[['2', '13'], ['4']]"
97,303,303-4.4,rel_ranking,,,"['heidelberg-materials_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[359], [152]]","[[0], [1]]","[['17'], ['6']]"
98,303,303-5.1,quant_sum,,,"['OTC_BAYZF_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'munich-re_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_MBGAF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[132], [359], [139], [47], [310], [350], [72]]","[[0], [0], [0], [0], [0], [0], [0]]","[['23'], ['30'], ['5'], ['3'], ['2'], ['16'], ['3']]"
99,303,303-5.2,quant_avg,,,"['heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf']","[[359], [139]]","[[0], [0]]","[['19'], ['6']]"
