,companies,answer_value,answer_company,unit,years,question,operation,GRI,out
105,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",85.4,OTC_RWNEF,million mt CO2e,"[2023, 2022]",Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in million mt CO2e?,sup,305,OTC_RWNEF
106,"['NYSE_AZ_2023_60_0', 'OTC_BAYZF_2023_63_0']",[1120000.   30490.],['OTC_BAYZF' 'NYSE_AZ'],tCO2e,[2022],Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,rank,305,"OTC_BAYZF, NYSE_AZ"
107,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0']",[  7573. 202000.],['OTC_SU' 'NYSE_TTE'],tons,[2023],What are the 2 lowest amounts of hazardous waste produced in 2023 (sorted in ascending order) among the following companies in tons?,rank,306,"7573.0, 202000.0"
108,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",[1.89 0.02],['OTC_BAYZF' 'OTC_ADDDF'],Million metric tons of CO2 equivalents,[2023],What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"1.89, 0.02"
109,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0']",[0.2  3.28],['OTC_RWNEF' 'OTC_ESOCF'],MtCO2eq,[2023],Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,rank,305,"OTC_RWNEF, OTC_ESOCF"
110,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0']",[3.4510e+07 3.1774e+04],['OTC_ESOCF' 'NYSE_AZ'],tCO2e,[2023],What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"34510000.0, 31774.0"
111,"['deutsche-telekom-ag_2023_46_0', 'prosiebensat1-media_2023_64_0']",6390.09,,,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,6390.09
112,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",0.61,,Million metric tons of CO2 equivalents,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,mean,305,0.61
113,"['axa_2023_179_0', 'vivendi_2023_105_0']",[19496. 37172.],['vivendi' 'axa'],TCO2eq,[2022],What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"19496.0, 37172.0"
114,"['munich-re_2023_46_0', 'vivendi_2023_105_0']",[3130824.  770748.],['munich-re' 'vivendi'],TCO2eq,[2022],What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"3130824.0, 770748.0"
115,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",30712.0,axa,tCO2e,[2023],What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,sup,305,30712.0
116,"['OTC_DPSGY_2023_3_0', 'OTC_SU_2023_310_1']",1201276,OTC_SU,,"[2023, 2022]",Which company has the largest energy consumption from 2022 to 2023 among the following companies?,sup,302,OTC_SU
117,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",7799933.0,OTC_ADDDF,tCO2e,[2022],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,sup,305,OTC_ADDDF
118,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0']",0.1,OTC_RWNEF,MtCO2eq,"[2023, 2022]",What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in MtCO2eq?,sup,305,0.1
119,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",2.81,,Million metric tons of CO2 equivalents,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,mean,305,2.81
120,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",5.1,OTC_ESOCF,Million metric tons of CO2 equivalents,[2022],Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,sup,305,OTC_ESOCF
121,"['NYSE_AZ_2023_60_0', 'vivendi_2023_105_0']",134270.0,,tCO2e,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,sum,305,134270.0
122,"['NASDAQ_DASTY_2023_141_0', 'munich-re_2023_46_0']",3192798.0,munich-re,tCO2e,[2022],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,sup,305,munich-re
123,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",[37172. 30490.],['axa' 'NYSE_AZ'],tCO2e,[2022],Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,rank,305,"axa, NYSE_AZ"
124,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",30712.0,axa,tCO2e,[2023],Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,sup,305,axa
125,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0']",14222384.0,,tons CO2e,"[2023, 2022]",What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tons CO2e?,sum,305,14222384.0
126,"['OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",[  14249. 1110000.],['munich-re' 'OTC_BAYZF'],tCO2e,[2023],Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"munich-re, OTC_BAYZF"
127,"['OTC_CRERF_2023_72_0', 'OTC_ESOCF_2023_139_0']",[35.4  8.2],['OTC_ESOCF' 'OTC_CRERF'],millions of cu.m,[2023],Which companies have the top 2 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of cu.m?,rank,303,"OTC_ESOCF, OTC_CRERF"
128,"['OTC_BAMGF_2023_310_0', 'OTC_CRERF_2023_72_0']",12200000.0,OTC_CRERF,m3,"[2023, 2022]",What is the highest water consumption in the years 2023 and 2022 for the following companies in m3?,sup,303,12200000.0
129,"['OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",107124.5,,tCO2e,[2023],What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tCO2e?,mean,305,107124.5
130,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",[1.11 0.2 ],['OTC_BAYZF' 'OTC_RWNEF'],Million metric tons of CO2 equivalents,[2023],What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"1.11, 0.2"
131,"['OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",71.04,OTC_ESOCF,MtCO2eq,[2022],What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,sup,305,71.04
132,"['OTC_BAMGF_2023_310_0', 'munich-re_2023_47_0']",432730,munich-re,m3,"[2023, 2022]",Which company has the smallest water consumption from 2022 to 2023 among the following companies in m3?,sup,303,munich-re
133,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",37172.0,axa,tCO2eq,[2022],What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,sup,305,37172.0
134,"['NASDAQ_DASTY_2023_117_0', 'prosiebensat1-media_2023_64_0']",[33.09 71.22],['prosiebensat1-media' 'NASDAQ_DASTY'],GWh,[2023],What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,rank,302,"33.09, 71.22"
135,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0']",[ 168709. 7635784.],['NASDAQ_DASTY' 'OTC_ADDDF'],tons CO2e,[2022],Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"NASDAQ_DASTY, OTC_ADDDF"
136,"['OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",0.56,,Million metric tons of CO2 equivalents,[2023],What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,mean,305,0.56
137,"['OTC_ADDDF_2023_84_0', 'vivendi_2023_105_0']",80894.5,,tons CO2e,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,mean,305,80894.5
138,"['OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",[  22042. 3280000.],['vivendi' 'OTC_ESOCF'],TCO2eq,[2023],What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"22042.0, 3280000.0"
139,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",78353.0,,tons CO2e,[2023],What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,mean,305,78353.0
140,"['OTC_ESOCF_2023_137_0', 'axa_2023_179_0']",[0.04 3.28],['axa' 'OTC_ESOCF'],MtCO2eq,[2023],Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,rank,305,"axa, OTC_ESOCF"
141,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0']",[322.   123.31],['NYSE_TTE' 'OTC_SU'],kt,[2022],Which companies have the 2 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in kt?,rank,306,"NYSE_TTE, OTC_SU"
142,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0']",[  7573. 202000.],['OTC_SU' 'NYSE_TTE'],tons,[2023],Which companies have the 2 lowest amounts of hazardous waste produced in 2023 (sorted in ascending order) among the following companies in tons?,rank,306,"OTC_SU, NYSE_TTE"
143,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0']",[ 168709. 7635784.],['NASDAQ_DASTY' 'OTC_ADDDF'],tons CO2e,[2022],What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"168709.0, 7635784.0"
144,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0']",[1.11 0.  ],['OTC_BAYZF' 'NASDAQ_DASTY'],Million metric tons of CO2 equivalents,[2023],What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"1.11, 0.0"
145,"['OTC_ESOCF_2023_137_0', 'munich-re_2023_46_0']",[71.04  3.13],['OTC_ESOCF' 'munich-re'],MtCO2eq,[2022],What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in MtCO2eq?,rank,305,"71.04, 3.13"
146,"['munich-re_2023_47_1', 'prosiebensat1-media_2023_64_0']",313698.0,munich-re,MWh,"[2023, 2022]",What is the highest energy consumed in the last 2 years among the following companies in MWh?,sup,302,313698.0
147,"['OTC_RWNEF_2023_79_0', 'axa_2023_179_0']",[ 42423. 200000.],['axa' 'OTC_RWNEF'],tCO2eq,[2023],Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,rank,305,"axa, OTC_RWNEF"
148,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",[1.11 0.2 ],['OTC_BAYZF' 'OTC_RWNEF'],Million metric tons of CO2 equivalents,[2023],Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_BAYZF, OTC_RWNEF"
149,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0']",[1.11 0.  ],['OTC_BAYZF' 'NASDAQ_DASTY'],Million metric tons of CO2 equivalents,[2023],Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_BAYZF, NASDAQ_DASTY"
150,"['NYSE_AZ_2023_60_0', 'OTC_BAYZF_2023_63_0']",1.11,OTC_BAYZF,Million metric tons of CO2 equivalents,[2023],What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,sup,305,1.11
151,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0']",23800000.0,OTC_RWNEF,tCO2e,[2022],What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,sup,305,23800000.0
152,"['NYSE_TTE_2023_387_3', 'vivendi_2023_140_0']",521000.0,NYSE_TTE,tons,"[2023, 2022]",Which company has the highest amount of waste generated in the years 2023 and 2022 among the following companies in tons?,sup,306,NYSE_TTE
153,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",1.12,OTC_BAYZF,Million metric tons of CO2 equivalents,[2022],What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,sup,305,1.12
154,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0']",[ 4178. 21779.],['NASDAQ_DASTY' 'OTC_ADDDF'],tCO2-eq,[2023],Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,rank,305,"NASDAQ_DASTY, OTC_ADDDF"
155,"['OTC_SU_2023_310_1', 'munich-re_2023_47_1']",722554.25,,,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,722554.25
156,"['axa_2023_179_0', 'vivendi_2023_105_0']",64465.0,,TCO2eq,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,sum,305,64465.0
157,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",6059047.0,OTC_ADDDF,tCO2e,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,sup,305,OTC_ADDDF
158,"['NYSE_AZ_2023_60_0', 'vivendi_2023_105_0']",[112228.  22042.],['NYSE_AZ' 'vivendi'],TCO2eq,[2023],Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"NYSE_AZ, vivendi"
159,"['OTC_ESOCF_2023_139_0', 'munich-re_2023_47_0']",20.38,,millions of m3,"[2023, 2022]",What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,mean,303,20.38
160,"['OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",214249.0,,tCO2e,[2023],What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2e?,sum,305,214249.0
161,"['OTC_ESOCF_2023_137_0', 'axa_2023_179_0']",5100000.0,OTC_ESOCF,tCO2eq,[2022],What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,sup,305,5100000.0
162,"['OTC_SU_2023_309_0', 'vivendi_2023_140_0']",[123311   8430],['OTC_SU' 'vivendi'],tons,[2022],What are the 2 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in tons?,rank,306,"123311, 8430"
163,"['OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",12285374.0,,TCO2eq,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in TCO2eq?,mean,305,12285374.0
164,"['axa_2023_179_0', 'vivendi_2023_105_0']",[21598. 10291.],['axa' 'vivendi'],TCO2eq,[2023],What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"21598.0, 10291.0"
165,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",5894811.0,OTC_ADDDF,tons CO2e,[2023],What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tons CO2e?,sup,305,5894811.0
166,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0']",3.48,,million mt CO2e,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,sum,305,3.48
167,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0']",39.06,,million mt CO2e,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in million mt CO2e?,mean,305,39.06
168,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",[1.12 5.1 ],['OTC_BAYZF' 'OTC_ESOCF'],MtCO2eq,[2022],What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,rank,305,"1.12, 5.1"
169,"['OTC_SU_2023_310_1', 'deutsche-telekom-ag_2023_46_0']",1124327,OTC_SU,MWh,"[2023, 2022, 2021, 2020]",What is the lowest energy consumption over the last 4 years among the following companies in MWh?,sup,302,1124327
170,"['deutsche-telekom-ag_2023_46_0', 'munich-re_2023_47_1']",[  250916 12241000],['munich-re' 'deutsche-telekom-ag'],MWh,[2023],Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,rank,302,"munich-re, deutsche-telekom-ag"
171,"['NYSE_TTE_2023_381_0', 'OTC_SU_2023_310_1']",622867939.0,,MWh,"[2023, 2022, 2021, 2020]",What is the total energy consumption generated by the following companies in the last 4 years in MWh?,sum,302,622867939.0
172,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",1262293.0,,tons CO2e,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,sum,305,1262293.0
173,"['OTC_ADDDF_2023_84_0', 'OTC_ESOCF_2023_137_0']",2.62,,MtCO2eq,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,mean,305,2.62
174,"['NASDAQ_DASTY_2023_141_0', 'munich-re_2023_46_0']",3086777.0,munich-re,tCO2e,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,sup,305,munich-re
175,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",5.1,OTC_ESOCF,Million metric tons of CO2 equivalents,[2022],What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,sup,305,5.1
176,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0']",561662.0,,tCO2-eq,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2-eq?,mean,305,561662.0
177,"['NYSE_TTE_2023_381_0', 'OTC_SU_2023_310_1']",[1.570000e+08 1.124327e+06],['NYSE_TTE' 'OTC_SU'],MWh,[2023],Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,rank,302,"NYSE_TTE, OTC_SU"
178,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",42423.0,axa,tCO2e,"[2023, 2022]",Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in tCO2e?,sup,305,axa
179,"['OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",71.04,OTC_ESOCF,MtCO2eq,[2022],Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,sup,305,OTC_ESOCF
180,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",0.66,,Million metric tons of CO2 equivalents,[2023],What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,mean,305,0.66
181,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",16.76,,million mt CO2e,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,mean,305,16.76
182,"['NASDAQ_DASTY_2023_117_0', 'deutsche-telekom-ag_2023_46_0']",[   71218 12241000],['NASDAQ_DASTY' 'deutsche-telekom-ag'],MWh,[2023],Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,rank,302,"NASDAQ_DASTY, deutsche-telekom-ag"
183,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",184187.0,,tCO2e,[2022],What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,sum,305,184187.0
184,"['NASDAQ_DASTY_2023_141_0', 'OTC_ESOCF_2023_137_0']",35.6,,MtCO2eq,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,mean,305,35.6
185,"['OTC_ADDDF_2023_84_0', 'axa_2023_179_0']",86584.5,,tons CO2e,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,mean,305,86584.5
186,"['NYSE_TTE_2023_381_0', 'deutsche-telekom-ag_2023_46_0']",669660,,GWh,"[2023, 2022, 2021, 2020]",What is the total energy consumption generated by the following companies in the last 4 years in GWh?,sum,302,669660
187,"['OTC_BAYZF_2023_132_0', 'OTC_ESOCF_2023_139_0']",[35.4   6.78],['OTC_ESOCF' 'OTC_BAYZF'],millions of m3,[2023],Which companies have the top 2 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of m3?,rank,303,"OTC_ESOCF, OTC_BAYZF"
188,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0']",2.57,,MtCO2eq,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,mean,305,2.57
189,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0']",56530000.0,OTC_ESOCF,tCO2e,[2023],What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,sup,305,56530000.0
190,"['NYSE_TTE_2023_381_0', 'deutsche-telekom-ag_2023_46_0']",166.0,NYSE_TTE,TWh,"[2023, 2022, 2021, 2020]",What is the highest energy consumed in the last 4 years among the following companies in TWh?,sup,302,166.0
191,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0']",[202.     7.57],['NYSE_TTE' 'OTC_SU'],kt,[2023],What are the 2 highest amounts of hazardous waste produced in 2023 (sorted in descending order) among the following companies in kt?,rank,306,"202.0, 7.57"
192,"['NYSE_TTE_2023_387_3', 'vivendi_2023_140_0']",658644.0,,tons,"[2023, 2022]",What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in tons?,sum,306,658644.0
193,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0']",[3280000.  112228.],['OTC_ESOCF' 'NYSE_AZ'],tCO2e,[2023],What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"3280000.0, 112228.0"
194,"['OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",[200000.  14249.],['OTC_RWNEF' 'munich-re'],tCO2e,[2023],Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"OTC_RWNEF, munich-re"
195,"['OTC_CRERF_2023_79_0', 'heidelberg-materials_2023_358_0']",953.1,heidelberg-materials,kt,"[2023, 2022]",Which company has the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,sup,306,heidelberg-materials
196,"['OTC_RWNEF_2023_79_0', 'axa_2023_179_0']",[200000.  42423.],['OTC_RWNEF' 'axa'],tCO2eq,[2023],Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2eq?,rank,305,"OTC_RWNEF, axa"
197,"['NASDAQ_DASTY_2023_141_0', 'OTC_RWNEF_2023_79_0']",103324.0,,tCO2-eq,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tCO2-eq?,sum,305,103324.0
198,"['OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",22042.0,vivendi,TCO2eq,"[2023, 2022]",Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in TCO2eq?,sup,305,vivendi
199,"['OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0']",[12241 35056],['deutsche-telekom-ag' 'OTC_DPSGY'],GWh,[2023],What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,rank,302,"12241, 35056"
200,"['munich-re_2023_46_0', 'vivendi_2023_105_0']",24569.0,,,"[2023, 2022]",What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,mean,305,24569.0
201,"['OTC_ADDDF_2023_84_0', 'vivendi_2023_105_0']",[142293.  19496.],['OTC_ADDDF' 'vivendi'],tons CO2e,[2022],Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,rank,305,"OTC_ADDDF, vivendi"
202,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0']",[ 0.09 71.04],['NYSE_AZ' 'OTC_ESOCF'],MtCO2eq,[2022],What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,rank,305,"0.09, 71.04"
203,"['NYSE_AZ_2023_60_0', 'OTC_BAYZF_2023_63_0']",9180000.0,OTC_BAYZF,tCO2e,[2023],What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,sup,305,9180000.0
204,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",6059047.0,OTC_ADDDF,tCO2e,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,sup,305,6059047.0
205,"['OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0']",12241,deutsche-telekom-ag,GWh,"[2023, 2022, 2021, 2020]",Which company has the lowest energy consumption over the last 4 years among the following companies in GWh?,sup,302,deutsche-telekom-ag
206,"['OTC_BAMGF_2023_310_0', 'OTC_BAYZF_2023_132_0']",[5.05 6.78],['OTC_BAMGF' 'OTC_BAYZF'],million cubic meters,[2023],What are the top 2 lowest water consumption values (in ascending order) for the year 2023 among the following companies in million cubic meters?,rank,303,"5.05, 6.78"
207,"['NASDAQ_DASTY_2023_141_0', 'munich-re_2023_46_0']",[ 3193. 14249.],['NASDAQ_DASTY' 'munich-re'],tCO2e,[2023],Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"NASDAQ_DASTY, munich-re"
208,"['OTC_BAYZF_2023_132_0', 'OTC_ESOCF_2023_139_0']",23.51,,millions of m3,"[2023, 2022]",What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,mean,303,23.51
209,"['NYSE_TTE_2023_381_0', 'prosiebensat1-media_2023_64_0']",323.07,,TWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in TWh?,sum,302,323.07
210,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0']",11946233.5,,tCO2e,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,mean,305,11946233.5
211,"['NASDAQ_DASTY_2023_117_0', 'OTC_SU_2023_310_1']",1201276,OTC_SU,MWh,"[2023, 2022]",What is the highest energy consumed in the last 2 years among the following companies in MWh?,sup,302,1201276
212,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",4.51,OTC_ESOCF,MtCO2eq,[2023],What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,sup,305,4.51
213,"['NYSE_TTE_2023_381_0', 'deutsche-telekom-ag_2023_46_0']",6454.25,,,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,6454.25
214,"['NASDAQ_DASTY_2023_141_0', 'NYSE_AZ_2023_60_0']",168709.0,NASDAQ_DASTY,tCO2-eq,[2022],What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,sup,305,168709.0
